ppm HF Concentration mole,X (m),Y (m),Z (m)
2,48.39,31.36,34.27
2,48.59,31.77,34.86
2,45.4,32.32,36.44
2,41.92,31.56,36.25
2,45.22,31.94,35.35
2,43.52,33.01,35.09
2,41.79,32.2,35.99
2,40.19,33.19,35.48
2,41.87,32.48,36.79
2,40.12,33.58,36.43
2,38.3,32.3,36.31
2,38.55,35.47,35.85
2,36.81,33.62,35.72
2,34.82,32.47,36.53
2,31.44,34.44,36.19
2,36.68,33.93,36.69
2,35.12,37.74,36.28
2,28.01,38.55,36.93
11,16.93,66.8,40.4
3,15.4,67.49,41.32
4,14.62,67.11,40.35
3,14.64,67.48,40.5
2,14.33,67.48,41.39
26,17.69,64.47,40.52
15,17.29,66.37,40.91
11,15.99,65.94,40.41
3,15.79,67.5,40.88
3,15.58,67.37,41.61
2,15.34,67.5,42.73
2,15.41,67.5,43.99
10,14.16,64.59,40.49
6,14.7,66.78,40.65
5,12.59,66.33,40.41
4,14.72,67.33,40.64
3,14.44,67.32,41.51
2,12.64,67.47,41.14
2,14.34,67.48,42.69
17,15.66,63.52,40.55
44,18.03,63.32,40.58
27,17.82,64.33,41.36
3,10.19,57.3,40.15
6,12.14,59.46,40.48
4,10.29,58.46,40.37
2,9.93,54.35,39.59
5,15.94,67.39,41.19
12,16.11,65.66,40.94
4,15.63,67.08,41.72
3,15.78,67.52,43.59
4,15.56,67.38,42.69
3,15.55,67.36,44.08
2,15.41,67.49,45.22
3,15.42,67.49,46.52
8,12.36,63,40.56
8,14.29,64.38,41.24
5,12.77,65.87,40.95
6,14.81,66.98,40.81
4,14.74,66.87,41.59
2,12.72,67.28,41.29
2,14.44,67.32,42.78
2,14.44,67.32,44.05
10,13.99,61.08,40.57
12,15.78,63.36,41.45
18,15.91,62.33,40.58
63,19.41,62.35,40.58
31,18.14,63.17,41.58
3,8.63,59.75,40.52
5,10.52,61.34,40.58
5,11.84,55.97,39.88
2,10.2,57.18,41.15
7,13.74,57.57,40.19
3,12.16,59.35,41.48
2,10.3,58.35,41.37
2,9.94,54.21,40.58
5,15.91,67.39,43.35
6,15.6,67.07,42.74
10,16.09,65.98,41.61
5,15.6,67.11,44.2
4,15.78,67.5,45.86
3,15.55,67.35,45.23
3,15.55,67.35,46.6
3,15.42,67.49,47.73
3,15.45,67.49,49.04
5,12.44,62.82,41.5
7,14.73,64.79,41.82
3,12.79,66.35,41.54
4,14.78,66.93,42.76
4,14.83,66.99,44.03
2,12.71,67.28,43.41
2,14.43,67.32,45.29
2,14.44,67.32,46.55
40,21.08,60.41,40.53
6,14.05,60.95,41.57
12,15.64,59.18,40.44
9,22.7,58.52,40.3
9,16.01,63.54,42.05
48,19.48,62.23,41.58
12,16.01,62.18,41.58
24,17.51,60.77,40.55
2,8.64,59.65,41.51
3,10.54,61.23,41.57
7,15.21,53.87,39.45
3,11.86,55.84,40.88
4,13.76,57.45,41.18
4,15.91,67.38,45.91
4,15.61,67.11,45.27
8,16.23,66,43.41
3,15.63,67.12,46.67
3,15.81,67.49,48.41
3,15.55,67.35,47.72
3,15.45,67.48,50.23
3,15.55,67.35,49.11
2,12.48,62.78,43.39
4,14.49,64.61,43.46
2,10.89,64.68,43.39
3,12.9,66.14,43.43
3,14.82,66.97,45.4
3,14.86,66.95,46.54
2,14.44,67.32,47.81
2,14.44,67.32,49.06
28,21.11,60.32,41.53
17,19.03,57.1,40.04
2,14.08,60.87,43.44
7,15.67,59.06,41.43
6,22.72,58.42,41.3
4,16.01,62.7,43.59
16,17.57,60.65,41.55
5,15.23,53.74,40.44
3,15.92,67.36,48.39
3,15.63,67.12,47.73
3,16.34,66.04,46.16
3,15.8,67.48,50.82
2,15.43,67.49,51.48
3,15.54,67.34,50.22
3,15.64,67.15,49.21
2,12.48,62.78,45.96
2,14.44,64.63,46.12
2,10.87,64.7,45.96
2,12.97,66.17,46.02
3,14.89,66.85,47.98
3,14.91,66.81,49.01
2,14.44,67.32,50.31
10,19.05,56.97,41.03
2,14.08,60.87,45.96
2,15.69,58.95,43.37
2,15.98,62.63,45.99
4,17.61,60.56,43.43
2,16.07,62.74,48.61
3,15.91,67.35,50.96
3,16.41,66,48.4
3,15.63,67.11,50.29
2,15.53,67.35,51.63
2,12.48,62.78,48.46
3,14.62,64.53,48.55
2,10.88,64.69,48.5
2,12.97,66.12,48.48
2,14.87,66.8,50.43
2,16.3,66.15,51.05
3,15.6,67.1,51.62
2,14.78,66.9,51.45
3,14.58,64.53,50.97
2,10.92,64.74,51.04
2,12.85,66.14,50.81
2,14.79,66.93,53.47
2,14.48,64.54,53.32
2,10.88,64.74,53.47
2,12.79,66.18,53.4
12728,26.22,79.01,40.53
6762,26.22,79.01,40.49
12212,26.22,79.01,40.49
3485,26.22,79.01,40.49
1914,26.22,79.01,40.49
10201,26.22,79.01,40.49
8912,26.23,79.01,40.49
5887,26.23,79.01,40.49
4026,26.23,79.01,40.49
11361,26.22,79.01,40.53
6608,26.23,79.01,40.53
15246,26.23,79.01,40.53
13896,26.23,79.01,40.53
13118,26.24,79.01,40.52
8850,26.23,79.01,40.49
14586,26.23,79.01,40.49
7414,26.22,79.01,40.53
8505,26.22,79.01,40.53
9824,26.22,79.01,40.53
6295,26.22,79.01,40.53
6750,26.22,79.01,40.53
6786,26.22,79.01,40.53
9468,26.22,79.01,40.53
440411,26.22,79.01,40.53
9558,26.22,79.01,40.53
4859,26.21,79.01,40.53
11147,26.21,79.01,40.53
11695,26.21,79.01,40.53
7538,26.22,79.01,40.53
12086,26.22,79.01,40.53
13023,26.22,79.01,40.53
998935,26.22,79.01,40.53
1000000,26.22,79.01,40.53
2079,26.21,79.01,40.49
6014,26.21,79.01,40.49
6715,26.22,79.01,40.49
999220,26.22,79.01,40.49
11559,26.22,79.01,40.49
2254,26.22,79.01,40.49
9773,26.22,79.01,40.49
55478,26.22,79.01,40.49
2042,26.22,79.01,40.49
295951,26.22,79.01,40.49
144473,26.22,79.01,40.49
29684,26.22,79.01,40.49
4882,26.22,79.01,40.49
704610,26.22,79.01,40.49
8709,26.22,79.01,40.49
33463,26.22,79.01,40.49
8147,26.22,79.01,40.49
2338,26.22,79.01,40.49
1397,26.22,79.01,40.49
2491,26.22,79.01,40.49
24913,26.22,79.01,40.49
6319,26.22,79.01,40.49
1000000,26.22,79.01,40.49
7139,26.22,79.01,40.49
3246,26.22,79.01,40.49
3763,26.22,79.01,40.49
1824,26.22,79.01,40.49
1969,26.23,79.01,40.49
2067,26.23,79.01,40.49
6184,26.23,79.01,40.49
847565,26.22,79.01,40.49
700456,26.23,79.01,40.49
