ppm HF Concentration mole,X (m),Y (m),Z (m)
3,63.58,90.58,50.15
3,63.67,90.56,50.3
3,63.58,89.66,50.15
3,63.65,89.65,50.3
3,63.58,90.08,50.15
3,63.87,90.08,50.3
3,63.58,91.55,50.15
3,63.7,91.51,50.3
2,63.58,92.39,50.15
2,63.73,92.38,50.3
2,64.01,91.9,50.3
3,63.58,89.11,50.15
3,63.8,89.2,50.3
3,64.66,89.09,50.3
3,64.24,89.59,50.3
3,63.93,90.99,50.3
3,63.58,91,50.15
3,63.58,90.6,49.64
3,63.78,90.65,49.96
3,63.87,90.63,50.1
3,63.58,89.68,49.64
3,63.78,89.74,49.96
3,63.84,89.73,50.1
3,63.58,90.1,49.64
3,63.78,90.16,49.96
3,64.35,90.51,50.3
3,64.05,90.16,50.1
3,64.43,91.41,50.3
3,64.87,90.93,50.3
3,63.58,91.56,49.64
3,63.9,91.57,50.1
3,63.78,91.6,49.96
2,63.58,92.4,49.65
2,63.92,92.42,50.1
2,63.78,92.43,49.96
2,64.19,91.94,50.1
3,64.11,88.67,50.3
3,63.58,88.25,50.15
3,65.08,88.59,50.3
3,63.58,89.11,49.65
3,63.78,89.21,49.96
3,63.99,89.3,50.1
3,65.18,89.53,50.3
3,64.82,89.19,50.1
3,64.77,90.02,50.3
3,64.42,89.67,50.1
3,65.7,89.96,50.3
3,65.3,90.45,50.3
3,64.11,91.05,50.1
3,63.78,91.06,49.96
3,63.58,91.02,49.64
3,63.58,90.62,48.93
3,63.78,90.65,49.49
3,63.99,90.68,49.84
3,63.58,89.7,48.94
3,63.78,89.75,49.49
3,63.96,89.79,49.84
3,63.58,90.12,48.94
3,63.78,90.16,49.49
3,64.5,90.57,50.1
3,64.16,90.2,49.84
2,64.96,91.84,50.3
3,64.58,91.46,50.1
3,65.4,91.36,50.3
3,65,90.98,50.1
2,65.91,91.77,50.3
3,63.58,91.5,48.92
3,63.78,91.6,49.49
3,64.01,91.6,49.84
2,63.58,92.41,48.95
2,63.78,92.43,49.49
2,64.04,92.44,49.84
2,64.66,92.35,50.1
2,64.3,91.97,49.84
3,63.58,88.27,49.31
3,64.3,88.79,50.1
3,63.78,88.37,49.96
3,63.76,88.24,50.3
3,64.57,88.15,50.3
3,63.58,87.27,50.15
3,63.7,86.39,50.3
