ppm HF Concentration mole,X (m),Y (m),Z (m)
2,78.13,73.01,52.83
2,77.18,72.2,52.83
2,76.38,73.16,52.83
2,74.6,73.02,50.71
2,73.64,72.53,50.51
2,72.85,73.5,50.51
2,71.9,72.99,50.51
2,74.62,73.31,51.53
2,73.64,72.53,50.71
2,72.85,73.5,50.71
2,72.02,74,50.51
2,72.5,74.39,50.71
2,71.61,74.48,50.51
2,71.1,73.63,50.51
2,71.9,72.99,50.71
2,73.65,72.52,51.51
2,72.72,73.65,50.87
2,72.02,73.99,50.71
2,72.5,74.39,50.89
2,71.61,74.47,50.71
2,71.21,74.95,50.71
2,71.21,74.96,50.51
2,70.73,74.55,50.51
2,71.92,73.13,50.86
2,71.1,73.63,50.71
2,72.86,73.48,51.55
2,72.5,74.39,51.27
2,72.02,73.99,50.89
2,71.61,74.47,50.89
2,71.21,74.94,50.89
2,70.73,74.55,50.71
2,70.81,75.43,50.71
2,71.21,74.94,55.02
2,72.86,73.47,52.83
2,72.5,74.39,51.9
2,72.05,74.43,54.08
2,70.81,75.45,50.51
2,71.11,73.73,50.88
2,72.02,73.99,51.27
2,72.02,73.99,51.9
2,71.61,74.47,51.27
2,71.61,74.47,51.9
2,71.21,74.94,51.27
2,70.81,75.42,50.89
2,71.21,74.94,54.4
2,71.21,74.94,53.77
2,71.1,73.62,54.08
2,72.05,74.43,52.83
2,71.1,73.62,51.57
2,71.21,74.94,51.9
2,71.1,73.62,52.83
2,71.21,74.94,52.52
2,77.88,77.59,61.57
2,78.31,77.4,61.14
2,78.08,77.59,61.56
2,78.08,77.39,60.98
2,77.86,77.39,61.01
2,77.86,77.4,61.14
2,78.32,77.41,61.37
2,78.09,77.4,61.14
2,77.2,77.59,61.56
2,78.31,77.43,61.68
2,77.87,77.43,61.68
2,78.34,77.6,61.87
2,77.88,77.6,61.87
2,77.61,77.59,61.56
2,78.08,77.6,61.86
2,78.29,77.25,61.04
2,78.19,77.4,61.13
2,78.3,77.26,61.2
2,78.52,77.25,61.2
2,78.07,77.43,61.67
2,77.11,77.58,60.91
2,77.11,77.58,61.05
2,76.9,77.58,61.06
2,77.21,77.58,60.87
2,77.32,77.58,61.04
2,77.62,77.59,61.26
2,77.87,77.41,61.38
2,77.21,77.59,61.27
2,77.96,77.39,60.98
2,78.07,77.26,61.04
2,77.97,77.4,61.13
2,77.74,77.39,60.98
2,77.85,77.27,61.07
2,77.73,77.4,61.13
2,77.85,77.28,61.2
2,78.3,77.27,61.44
