ppm HF Concentration mole,X (m),Y (m),Z (m)
5,38.14,133.45,41.16
2,39.79,131.45,40.83
3,38.46,137.1,41.87
2,36.86,138.89,43.27
2,42.33,124.06,41.47
2,41.6,124.36,42
4,38.16,133.34,42.15
5,38.47,136.92,42.85
5,40.07,135.1,41.46
3,40.38,138.74,42.2
3,36.86,138.51,44.22
2,38.78,140.5,43.62
2,40.66,141.75,42.87
2,42.45,125.43,41.49
3,38.17,133.22,43.72
4,38.48,136.73,44.07
2,39.77,131.33,43.57
2,41.69,125.86,42
3,40.08,134.95,42.45
5,40.39,138.54,43.18
5,41.99,136.77,41.78
3,42.31,140.38,42.55
2,36.87,138.77,45.89
3,38.97,139.97,44.36
3,40.66,141.5,43.84
2,38.47,136.81,45.96
2,40.08,134.82,43.87
4,40.39,138.3,44.23
3,41.99,136.6,42.77
4,42.31,140.15,43.53
3,44.82,141.97,42.91
5,43.91,138.41,42.12
2,45.52,136.43,41.69
2,38.76,140.36,45.88
3,40.64,141.06,44.49
2,40.77,142.67,44.11
2,44.23,144.43,43.48
2,40.39,138.42,45.96
2,42,136.43,44.03
3,42.31,139.75,44.36
4,44.82,141.72,43.88
3,43.91,138.23,43.1
4,47.58,139.93,42.46
2,40.71,141.92,45.92
2,44.23,144.11,44.43
2,42.31,140.03,45.93
3,44.64,141.14,44.53
2,43.91,138,44.19
3,47.58,139.72,43.43
4,51.42,143.27,43.23
3,55.24,146.78,44.04
3,51.42,142.96,44.18
3,54.73,140.65,42.61
2,62.59,151.46,45.1
2,58.98,149.91,44.74
2,55.25,146.26,44.94
2,58.45,142.71,43.08
2,69.5,151.18,45.01
2,62.71,150.54,45.9
2,65.87,149.42,44.62
2,59.03,149.13,45.58
2,62.24,146.13,43.87
33,25.8,80.69,42.36
30,25.56,80.49,42.36
32,26.01,79.3,42.73
35,26.28,81.09,42.05
33,26.08,81.33,41.74
35,26.08,81.33,42.05
35,26.14,81.99,41.9
34,25.84,81.13,42.05
33,25.6,80.93,42.36
38,25.66,81.59,42.52
30,25.36,80.73,42.36
