ppm NH3 Concentration mole,X (m),Y (m),Z (m)
237,-99.54,68.64,40.29
80,-99.54,68.64,40.29
46,-99.54,68.64,40.29
112,-99.54,68.64,40.29
40,-99.54,68.64,40.29
114,-99.54,68.64,40.29
114,-99.54,68.64,40.29
410,-99.54,68.64,40.29
1276,-99.54,68.64,40.29
5564,-99.54,68.64,40.29
4022,-99.54,68.65,40.29
89422,-99.54,68.65,40.29
608254,-99.55,68.65,40.29
35,-99.53,68.64,40.29
36,-99.53,68.64,40.29
41,-99.54,68.64,40.29
43,-99.54,68.64,40.29
253,-99.54,68.64,40.29
254,-99.54,68.64,40.29
43,-99.54,68.64,40.28
261,-99.54,68.64,40.28
63,-99.54,68.64,40.28
262,-99.54,68.64,40.28
70,-99.54,68.64,40.28
301,-99.54,68.64,40.28
78,-99.54,68.64,40.28
65,-99.54,68.64,40.28
255,-99.54,68.64,40.29
327,-99.54,68.64,40.29
258,-99.54,68.64,40.28
283,-99.54,68.64,40.28
247,-99.55,68.64,40.28
105,-99.54,68.64,40.28
285,-99.55,68.64,40.28
962,-99.55,68.65,40.29
4866,-99.55,68.65,40.29
332,-99.55,68.65,40.28
136,-99.55,68.65,40.28
687,-99.55,68.65,40.28
183,-99.55,68.65,40.28
113,-99.54,68.64,40.28
93,-99.54,68.64,40.28
141,-99.55,68.65,40.28
139,-99.55,68.65,40.28
176,-99.55,68.65,40.28
2071,-99.53,68.64,40.31
1918,-99.53,68.64,40.31
733,-99.53,68.64,40.31
3207,-99.53,68.64,40.31
4695,-99.53,68.64,40.32
87177,-99.54,68.64,40.31
48987,-99.54,68.64,40.32
239748,-99.54,68.64,40.32
806588,-99.54,68.64,40.32
16718,-99.54,68.64,40.32
126716,-99.54,68.64,40.32
694818,-99.54,68.64,40.32
16631,-99.54,68.64,40.32
2726,-99.54,68.64,40.32
316,-99.54,68.64,40.33
3525,-99.54,68.64,40.33
125674,-99.54,68.64,40.33
27010,-99.54,68.64,40.33
917740,-99.56,68.66,40.32
914294,-99.56,68.66,40.33
888851,-99.57,68.66,40.32
887058,-99.57,68.66,40.32
820670,-99.57,68.66,40.32
887647,-99.57,68.66,40.32
817621,-99.57,68.66,40.33
890680,-99.57,68.66,40.33
672058,-99.57,68.66,40.32
768396,-99.57,68.67,40.32
685318,-99.57,68.66,40.32
672329,-99.57,68.66,40.33
696145,-99.57,68.67,40.33
763155,-99.57,68.67,40.32
895786,-99.57,68.66,40.31
893583,-99.57,68.66,40.32
887868,-99.57,68.66,40.31
874399,-99.57,68.66,40.31
934937,-99.57,68.66,40.31
919059,-99.57,68.66,40.31
824276,-99.57,68.67,40.31
833488,-99.57,68.67,40.31
681366,-99.57,68.66,40.32
845763,-99.57,68.67,40.31
775680,-99.57,68.67,40.32
853989,-99.57,68.67,40.32
874137,-99.57,68.66,40.31
880630,-99.57,68.66,40.3
885427,-99.57,68.66,40.3
879886,-99.57,68.66,40.3
917319,-99.57,68.66,40.31
917626,-99.57,68.66,40.3
820936,-99.57,68.67,40.31
815119,-99.57,68.67,40.3
569611,-99.57,68.66,40.3
571233,-99.57,68.66,40.3
699128,-99.57,68.67,40.3
682568,-99.57,68.67,40.3
612742,-99.56,68.66,40.29
887715,-99.56,68.66,40.29
862878,-99.56,68.66,40.29
876381,-99.57,68.66,40.3
866529,-99.57,68.66,40.3
728341,-99.57,68.66,40.29
619037,-99.57,68.66,40.29
645345,-99.57,68.66,40.29
822302,-99.57,68.66,40.29
570028,-99.57,68.66,40.3
541167,-99.57,68.66,40.3
582306,-99.57,68.67,40.3
667826,-99.57,68.67,40.3
256122,-99.57,68.66,40.29
206308,-99.57,68.66,40.29
451135,-99.57,68.66,40.29
408406,-99.57,68.67,40.29
241255,-99.55,68.65,40.29
27033,-99.55,68.65,40.29
431103,-99.55,68.65,40.29
134164,-99.55,68.65,40.29
1193,-99.55,68.65,40.28
245,-99.55,68.65,40.28
1262,-99.55,68.65,40.28
2797,-99.55,68.65,40.28
338,-99.55,68.65,40.28
712303,-99.55,68.65,40.29
466982,-99.56,68.66,40.29
461315,-99.55,68.65,40.29
48443,-99.55,68.65,40.28
223054,-99.56,68.66,40.29
4665,-99.55,68.65,40.28
649,-99.55,68.65,40.28
16775,-99.56,68.65,40.28
7075,-99.56,68.65,40.28
1295,-99.56,68.65,40.28
1445,-99.56,68.66,40.28
218,-99.55,68.65,40.28
265,-99.55,68.65,40.28
362,-99.55,68.65,40.28
895,-99.56,68.65,40.28
1379,-99.56,68.66,40.28
3705,-99.56,68.65,40.28
1323,-99.56,68.66,40.28
1624,-99.56,68.66,40.28
1870,-99.56,68.66,40.28
2577,-99.57,68.66,40.28
4041,-99.57,68.66,40.28
4064,-99.57,68.66,40.28
8474,-99.57,68.66,40.28
5204,-99.57,68.66,40.28
71098,-99.56,68.66,40.29
10489,-99.56,68.66,40.28
3798,-99.56,68.66,40.28
281713,-99.56,68.66,40.29
96902,-99.56,68.66,40.29
346788,-99.56,68.66,40.29
79169,-99.56,68.66,40.29
12657,-99.56,68.66,40.28
2540,-99.56,68.66,40.28
4772,-99.56,68.66,40.28
3329,-99.56,68.66,40.28
10040,-99.56,68.66,40.28
16406,-99.56,68.66,40.28
125753,-99.57,68.66,40.29
41838,-99.57,68.66,40.29
39660,-99.57,68.66,40.29
122552,-99.57,68.66,40.29
5056,-99.57,68.66,40.28
9034,-99.57,68.66,40.28
6459,-99.57,68.66,40.28
14632,-99.57,68.66,40.28
10470,-99.57,68.66,40.28
17237,-99.57,68.66,40.28
66061,-99.57,68.66,40.29
63032,-99.57,68.66,40.29
7905,-99.57,68.66,40.28
14128,-99.57,68.66,40.28
33396,-99.57,68.66,40.29
33360,-99.57,68.66,40.29
12151,-99.57,68.66,40.28
505232,-99.57,68.67,40.33
572401,-99.57,68.67,40.33
566194,-99.58,68.67,40.31
566161,-99.58,68.67,40.31
574084,-99.58,68.67,40.32
564823,-99.58,68.67,40.31
542195,-99.58,68.67,40.32
557630,-99.58,68.67,40.31
574826,-99.58,68.67,40.31
571770,-99.58,68.67,40.31
515285,-99.58,68.67,40.32
509489,-99.58,68.67,40.32
533458,-99.58,68.67,40.32
572277,-99.58,68.67,40.32
451415,-99.58,68.67,40.33
493550,-99.58,68.67,40.32
533490,-99.58,68.67,40.33
437855,-99.58,68.67,40.33
490280,-99.58,68.67,40.32
454027,-99.58,68.67,40.33
443125,-99.58,68.67,40.32
505719,-99.58,68.67,40.32
462803,-99.58,68.67,40.32
536138,-99.58,68.67,40.32
502039,-99.58,68.67,40.32
475651,-99.58,68.67,40.32
559902,-99.58,68.67,40.32
522795,-99.58,68.67,40.32
536208,-99.58,68.67,40.3
559135,-99.58,68.67,40.31
445698,-99.58,68.67,40.3
414893,-99.58,68.67,40.3
498662,-99.58,68.67,40.3
441184,-99.58,68.67,40.3
423571,-99.58,68.67,40.3
522370,-99.58,68.67,40.3
469190,-99.58,68.67,40.31
559994,-99.58,68.67,40.31
364671,-99.58,68.67,40.3
296507,-99.58,68.67,40.3
456135,-99.58,68.67,40.3
351660,-99.58,68.67,40.3
381992,-99.58,68.67,40.3
284922,-99.58,68.67,40.3
366481,-99.58,68.67,40.3
260055,-99.58,68.67,40.3
359164,-99.58,68.67,40.3
109213,-99.58,68.67,40.29
190656,-99.58,68.67,40.29
80509,-99.58,68.67,40.29
104977,-99.58,68.67,40.29
137492,-99.58,68.67,40.29
167465,-99.58,68.67,40.29
70429,-99.58,68.67,40.29
117332,-99.58,68.67,40.29
164712,-99.58,68.67,40.3
196357,-99.58,68.67,40.3
226665,-99.58,68.67,40.3
277020,-99.58,68.67,40.3
317455,-99.58,68.67,40.3
494602,-99.58,68.67,40.32
499011,-99.58,68.67,40.31
494777,-99.58,68.67,40.31
501632,-99.58,68.67,40.31
47728,-99.58,68.66,40.29
45589,-99.58,68.67,40.29
16456,-99.58,68.67,40.28
11472,-99.58,68.67,40.28
22896,-99.58,68.67,40.28
32853,-99.58,68.67,40.29
32368,-99.58,68.66,40.29
15328,-99.58,68.67,40.28
25362,-99.58,68.67,40.29
24651,-99.58,68.67,40.29
36594,-99.58,68.67,40.29
37023,-99.58,68.67,40.29
45796,-99.58,68.67,40.29
254,-99.53,68.64,40.31
203,-99.53,68.64,40.3
25,-99.53,68.64,40.29
26,-99.53,68.63,40.29
30,-99.53,68.64,40.29
26,-99.53,68.63,40.29
31,-99.53,68.64,40.29
36,-99.54,68.64,40.28
325,-99.53,68.64,40.31
323,-99.53,68.64,40.31
106,-99.53,68.64,40.32
1385,-99.53,68.64,40.32
19516,-99.54,68.64,40.32
983,-99.53,68.64,40.32
54,-99.53,68.64,40.32
170,-99.54,68.64,40.32
25,-99.53,68.64,40.32
40,-99.54,68.64,40.33
27,-99.54,68.64,40.33
86,-99.54,68.64,40.33
1162,-99.54,68.64,40.33
34992,-99.54,68.64,40.33
2602,-99.54,68.64,40.33
18106,-99.54,68.64,40.33
410344,-99.54,68.65,40.33
112517,-99.54,68.64,40.33
532,-99.54,68.64,40.33
6552,-99.54,68.65,40.33
786872,-99.54,68.65,40.33
442492,-99.54,68.65,40.33
203565,-99.54,68.65,40.33
291470,-99.55,68.65,40.33
31332,-99.54,68.65,40.33
127306,-99.55,68.65,40.33
79,-99.54,68.64,40.34
535,-99.54,68.64,40.34
3991,-99.55,68.65,40.34
36456,-99.55,68.65,40.34
447833,-99.55,68.65,40.33
267054,-99.55,68.65,40.34
586113,-99.55,68.65,40.34
706418,-99.55,68.65,40.33
478757,-99.55,68.65,40.34
566677,-99.56,68.65,40.34
664025,-99.55,68.65,40.34
899530,-99.55,68.65,40.33
715871,-99.55,68.65,40.33
6560,-99.55,68.65,40.34
46615,-99.55,68.65,40.34
59758,-99.55,68.65,40.34
198496,-99.55,68.65,40.34
64976,-99.56,68.65,40.34
91507,-99.55,68.65,40.34
182290,-99.55,68.65,40.34
229184,-99.56,68.65,40.34
418111,-99.56,68.65,40.34
302732,-99.56,68.65,40.34
11530,-99.55,68.65,40.34
874116,-99.56,68.66,40.33
870225,-99.56,68.66,40.33
787367,-99.56,68.66,40.33
870981,-99.56,68.66,40.33
659649,-99.56,68.65,40.34
647226,-99.56,68.66,40.34
722499,-99.56,68.66,40.34
915285,-99.56,68.66,40.33
926735,-99.56,68.66,40.33
736299,-99.56,68.66,40.33
683819,-99.56,68.66,40.33
912986,-99.56,68.66,40.33
575040,-99.56,68.66,40.34
601646,-99.56,68.66,40.34
684069,-99.56,68.66,40.33
797310,-99.57,68.66,40.33
804538,-99.57,68.66,40.33
699725,-99.57,68.66,40.33
830445,-99.57,68.66,40.33
895612,-99.57,68.66,40.33
507326,-99.57,68.66,40.34
494964,-99.57,68.66,40.34
636056,-99.57,68.66,40.33
684085,-99.57,68.66,40.33
583437,-99.57,68.66,40.33
423875,-99.57,68.66,40.33
499495,-99.57,68.66,40.33
457766,-99.57,68.67,40.33
531172,-99.57,68.66,40.33
634235,-99.57,68.66,40.33
542760,-99.57,68.67,40.33
522118,-99.57,68.66,40.33
624785,-99.57,68.67,40.33
615351,-99.57,68.66,40.33
363294,-99.56,68.65,40.34
500505,-99.56,68.66,40.34
431242,-99.56,68.66,40.34
508269,-99.56,68.66,40.34
500413,-99.56,68.66,40.34
418210,-99.57,68.66,40.34
389131,-99.57,68.66,40.34
405407,-99.57,68.66,40.34
28105,-99.54,68.64,40.31
1112,-99.53,68.64,40.31
16758,-99.54,68.64,40.3
688,-99.53,68.64,40.3
10268,-99.54,68.64,40.3
519,-99.53,68.64,40.3
50,-99.53,68.64,40.3
58,-99.53,68.64,40.3
627,-99.53,68.64,40.3
8800,-99.54,68.64,40.3
837104,-99.54,68.64,40.31
512550,-99.54,68.64,40.31
