ppm NH3 Concentration mole,X (m),Y (m),Z (m)
824941,-93.84,77.26,41.38
198347,-93.85,77.25,41.38
253058,-93.85,77.25,41.38
71656,-93.85,77.25,41.38
346331,-93.83,77.27,41.37
226820,-93.83,77.27,41.37
148605,-93.83,77.27,41.37
162095,-93.83,77.27,41.37
134842,-93.83,77.27,41.36
93645,-93.83,77.26,41.36
69988,-93.83,77.26,41.36
632298,-93.83,77.26,41.38
475889,-93.83,77.27,41.37
210248,-93.83,77.27,41.37
556944,-93.83,77.27,41.37
311344,-93.83,77.27,41.37
761447,-93.83,77.26,41.38
788250,-93.83,77.26,41.38
831109,-93.83,77.26,41.38
70837,-93.84,77.26,41.36
108076,-93.83,77.26,41.36
59387,-93.83,77.26,41.36
92733,-93.84,77.26,41.36
139811,-93.84,77.26,41.36
772415,-93.84,77.26,41.38
843066,-93.84,77.26,41.38
790317,-93.84,77.26,41.38
344302,-93.85,77.25,41.38
348487,-93.85,77.25,41.38
99362,-93.85,77.25,41.38
139039,-93.85,77.25,41.37
141046,-93.85,77.25,41.37
70414,-93.85,77.25,41.38
26845,-93.85,77.25,41.38
16215,-93.85,77.25,41.37
22102,-93.85,77.25,41.37
202816,-93.84,77.26,41.36
506576,-93.84,77.25,41.39
481862,-93.84,77.26,41.39
576013,-93.84,77.25,41.38
665474,-93.84,77.26,41.38
666037,-93.84,77.26,41.38
924606,-93.84,77.26,41.38
549427,-93.84,77.26,41.38
504481,-93.84,77.25,41.39
561243,-93.84,77.25,41.38
644171,-93.84,77.25,41.38
419850,-93.85,77.25,41.38
511310,-93.85,77.25,41.38
167655,-93.85,77.25,41.38
100971,-93.85,77.25,41.38
251452,-93.85,77.25,41.38
18706,-93.85,77.25,41.38
28730,-93.85,77.25,41.38
62188,-93.85,77.25,41.38
5037,-93.85,77.25,41.38
6000,-93.85,77.25,41.38
1771,-93.85,77.24,41.38
25329,-93.82,77.27,41.37
31752,-93.82,77.27,41.37
23689,-93.83,77.27,41.37
47672,-93.83,77.27,41.37
37516,-93.83,77.27,41.37
74416,-93.83,77.27,41.37
539707,-93.83,77.26,41.37
452895,-93.83,77.26,41.37
84506,-93.83,77.27,41.37
161603,-93.83,77.27,41.37
190998,-93.83,77.27,41.37
12988,-93.83,77.27,41.36
26258,-93.83,77.27,41.36
7923,-93.83,77.27,41.36
12200,-93.83,77.27,41.36
279174,-93.83,77.26,41.36
56659,-93.83,77.27,41.36
25345,-93.83,77.27,41.36
49698,-93.83,77.27,41.36
128849,-93.83,77.26,41.36
818522,-93.83,77.26,41.37
805199,-93.83,77.26,41.37
755098,-93.83,77.26,41.37
719659,-93.83,77.26,41.37
777863,-93.83,77.26,41.36
632617,-93.83,77.26,41.36
699520,-93.84,77.26,41.36
418668,-93.83,77.26,41.36
885672,-93.84,77.26,41.36
879268,-93.84,77.26,41.36
845301,-93.84,77.26,41.36
818228,-93.84,77.26,41.36
894657,-93.84,77.26,41.37
889915,-93.84,77.26,41.37
862121,-93.84,77.26,41.37
855754,-93.84,77.26,41.37
81255,-93.83,77.27,41.38
146787,-93.83,77.27,41.38
100013,-93.83,77.27,41.38
159270,-93.83,77.27,41.38
516940,-93.83,77.27,41.38
631867,-93.83,77.26,41.38
276948,-93.83,77.27,41.38
276145,-93.83,77.27,41.38
458753,-93.83,77.26,41.38
52267,-93.83,77.27,41.37
100026,-93.83,77.27,41.37
66779,-93.83,77.27,41.37
127507,-93.83,77.27,41.37
598597,-93.83,77.26,41.37
245467,-93.83,77.27,41.37
627863,-93.83,77.26,41.37
251728,-93.83,77.27,41.37
301329,-93.83,77.27,41.37
836458,-93.83,77.26,41.38
811129,-93.83,77.26,41.38
651190,-93.83,77.26,41.38
786300,-93.83,77.26,41.38
852156,-93.83,77.26,41.38
826594,-93.83,77.26,41.37
774857,-93.83,77.26,41.37
832094,-93.83,77.26,41.37
785209,-93.83,77.26,41.37
866964,-93.84,77.26,41.38
892759,-93.84,77.26,41.38
891617,-93.84,77.26,41.38
863366,-93.84,77.26,41.38
896754,-93.84,77.26,41.37
866376,-93.84,77.26,41.37
867697,-93.84,77.26,41.37
895287,-93.84,77.26,41.37
5356,-93.83,77.27,41.36
2867,-93.83,77.27,41.36
10484,-93.83,77.27,41.36
22371,-93.83,77.26,41.36
7107,-93.83,77.26,41.36
3914,-93.83,77.27,41.36
2773,-93.83,77.26,41.36
437887,-93.84,77.26,41.36
27159,-93.83,77.26,41.36
91303,-93.84,77.26,41.36
50379,-93.83,77.26,41.36
166944,-93.83,77.26,41.36
13802,-93.83,77.26,41.36
13266,-93.84,77.26,41.35
16818,-93.84,77.26,41.35
6886,-93.83,77.26,41.35
1147,-93.83,77.26,41.35
3729,-93.83,77.26,41.35
836066,-93.84,77.26,41.36
703490,-93.84,77.26,41.36
247563,-93.84,77.26,41.36
533151,-93.84,77.26,41.36
1535,-93.84,77.26,41.35
1587,-93.84,77.26,41.35
1161,-93.83,77.26,41.35
179690,-93.83,77.27,41.38
262627,-93.83,77.27,41.38
268316,-93.83,77.27,41.38
399772,-93.83,77.26,41.38
337185,-93.83,77.26,41.38
526826,-93.83,77.26,41.38
504489,-93.83,77.26,41.38
632810,-93.83,77.26,41.38
737670,-93.84,77.26,41.38
422931,-93.83,77.26,41.38
432129,-93.83,77.26,41.39
476799,-93.84,77.26,41.39
458769,-93.84,77.26,41.39
885755,-93.84,77.26,41.38
591138,-93.84,77.26,41.38
583707,-93.84,77.26,41.38
803826,-93.84,77.26,41.38
917252,-93.84,77.26,41.36
915982,-93.84,77.26,41.36
920835,-93.84,77.26,41.37
918160,-93.84,77.26,41.37
923946,-93.84,77.26,41.38
927644,-93.84,77.26,41.38
923525,-93.84,77.26,41.37
924020,-93.84,77.26,41.37
586937,-93.85,77.25,41.38
27211,-93.85,77.25,41.36
7035,-93.85,77.25,41.36
32306,-93.85,77.25,41.36
2162,-93.85,77.25,41.36
3524,-93.85,77.25,41.36
69407,-93.85,77.25,41.37
116739,-93.85,77.25,41.37
5491,-93.85,77.25,41.37
8444,-93.85,77.25,41.37
380556,-93.85,77.25,41.38
462454,-93.85,77.25,41.38
86669,-93.85,77.25,41.38
139005,-93.85,77.25,41.38
454228,-93.85,77.25,41.37
470962,-93.85,77.25,41.37
301837,-93.85,77.25,41.37
248633,-93.85,77.25,41.37
10075,-93.85,77.25,41.38
10438,-93.85,77.25,41.38
26992,-93.85,77.25,41.38
27990,-93.85,77.25,41.37
2148,-93.85,77.24,41.37
28330,-93.85,77.25,41.37
2459,-93.85,77.24,41.37
16207,-93.84,77.26,41.35
5627,-93.84,77.25,41.35
405,-93.84,77.25,41.35
2201,-93.84,77.25,41.35
634,-93.85,77.25,41.35
902148,-93.84,77.26,41.36
673658,-93.84,77.26,41.36
50923,-93.84,77.26,41.36
20329,-93.84,77.25,41.36
26127,-93.85,77.25,41.36
5653,-93.85,77.25,41.36
1244,-93.84,77.26,41.35
474,-93.84,77.25,41.35
407,-93.85,77.25,41.36
10721,-93.85,77.25,41.36
1651,-93.85,77.25,41.36
603,-93.85,77.25,41.36
1693,-93.85,77.25,41.36
1722,-93.85,77.24,41.38
1739,-93.85,77.24,41.38
496,-93.85,77.24,41.37
320,-93.85,77.24,41.37
418838,-93.84,77.25,41.39
384908,-93.84,77.25,41.39
406919,-93.84,77.26,41.39
363823,-93.84,77.26,41.39
460730,-93.84,77.25,41.38
527365,-93.84,77.25,41.38
464945,-93.84,77.26,41.38
418615,-93.84,77.26,41.38
356351,-93.84,77.25,41.39
429845,-93.84,77.25,41.39
359211,-93.84,77.25,41.39
285015,-93.84,77.25,41.39
462885,-93.84,77.25,41.38
533721,-93.84,77.25,41.38
385621,-93.84,77.25,41.38
470660,-93.84,77.25,41.38
356027,-93.84,77.25,41.39
346347,-93.84,77.26,41.39
318758,-93.84,77.25,41.39
170088,-93.84,77.25,41.39
34886,-93.85,77.25,41.39
57337,-93.85,77.25,41.39
13134,-93.85,77.25,41.39
44189,-93.85,77.25,41.38
69495,-93.85,77.25,41.38
10643,-93.85,77.25,41.38
15140,-93.85,77.25,41.38
2838,-93.85,77.24,41.38
4244,-93.85,77.24,41.38
726,-93.85,77.24,41.38
4027,-93.85,77.24,41.38
1027,-93.85,77.24,41.38
1697,-93.85,77.24,41.38
256,-93.85,77.24,41.38
284,-93.85,77.24,41.38
1193,-93.82,77.27,41.36
1912,-93.82,77.27,41.36
530,-93.82,77.27,41.36
750,-93.82,77.27,41.36
8364,-93.82,77.27,41.37
13784,-93.82,77.27,41.37
13431,-93.82,77.27,41.37
18294,-93.82,77.27,41.37
12703,-93.82,77.27,41.37
4743,-93.82,77.27,41.36
2560,-93.82,77.27,41.36
7645,-93.82,77.27,41.36
3990,-93.82,77.27,41.36
39558,-93.82,77.27,41.38
30350,-93.82,77.27,41.38
48889,-93.82,77.27,41.38
59930,-93.82,77.27,41.38
19398,-93.82,77.27,41.37
29044,-93.82,77.27,41.37
14616,-93.82,77.27,41.37
24756,-93.82,77.27,41.37
38751,-93.82,77.27,41.37
15627,-93.82,77.27,41.37
33250,-93.83,77.27,41.37
23942,-93.82,77.27,41.37
51976,-93.83,77.27,41.37
158588,-93.83,77.26,41.37
