"ppm_HF_Concentration mole","Velocity: Magnitude (m/s)","X (m)","Y (m)","Z (m)"
71005.410627761317,0.14784579580624924,77.29256957238718,66.237653532613024,25.036580900575792
42413.2795082269,0.15359017967264438,77.290262668090392,66.237657545360122,25.030525707502274
106692.85205173942,0.13494917020795644,77.292095549513903,66.2380161517315,25.037460864455483
26872.075097154888,0.1535240601602616,77.288616744653027,66.237771914660215,25.03989126151917
36467.274801995467,0.15429143737697806,77.29072496459888,66.237748541466217,25.038951773228192
98855.732856160554,0.13040758940074032,77.292804337959765,66.237781201545289,25.034421576269278
56875.684248824371,0.15953567917925526,77.292517855165229,66.236560350105975,25.036309308737302
34581.930510496655,0.16187076035964809,77.292600331684667,66.236614570989801,25.036847677226458
94307.36867649568,0.13054718950653763,77.291500256176107,66.237833108333618,25.031740710544501
28316.913866798419,0.1669709071091261,77.290136247705135,66.236565694296075,25.030616600980224
73185.902460593439,0.14495486747056843,77.292544508498565,66.237657545779356,25.032899208665025
15260.315690068728,0.15821645477949134,77.2861431068158,66.237773823527633,25.039654155615722
22181.674838440151,0.1647211467061121,77.29038926403382,66.236597884676556,25.030407890984101
35297.109648274105,0.14996125941904148,77.288676421947315,66.237782259529553,25.030099387155065
103142.2380477572,0.1403957383184446,77.288635160936167,66.237293594784902,25.034547401456621
123670.08068179619,0.13432183089660898,77.291162315102795,66.237328039141303,25.034546693483517
82130.549148263613,0.14776521739116458,77.288635160936167,66.237293594784902,25.036988807706621
98068.646684844556,0.14281677805984266,77.291044128250164,66.237305244538248,25.036890468586961
36407.298900453665,0.16079196253322078,77.288571196224481,66.237248096010134,25.039036347985164
12651.187459527429,0.16765405738108149,77.288626344350504,66.236618304856336,25.040097817388833
37823.271357728852,0.16077839804021168,77.290508548708885,66.237186234600458,25.038628051329376
18961.077001436399,0.16544674069659535,77.290949988583819,66.236614148196026,25.038941047799145
104217.40465110879,0.14493588857588371,77.29261018783582,66.236814694150866,25.034576035622994
48389.421609798876,0.15479324508070683,77.293034933198371,66.236623143600966,25.034471009636487
7779.9570745755482,0.17567924952235714,77.292487493628656,66.23455451664833,25.036506462441956
17652.895139464494,0.16938532996752367,77.292744544472299,66.23541832539604,25.036896120909784
32215.959569562863,0.16254658661078675,77.288476096099217,66.23710575670809,25.030463475006897
95738.057594474682,0.14438429018912211,77.290860654598148,66.237219207906875,25.032293156688965
47696.648144055405,0.15632117092288608,77.291748158970137,66.236650118629868,25.03150758683984
5970.7689273428132,0.17810679211151423,77.290236619400289,66.234507102064569,25.030590371596787
34568.104885981855,0.16087002979173334,77.292647229086569,66.23658446776507,25.032624397949167
62683.094796250327,0.15989285940496031,77.292475814018985,66.236565694476127,25.033033591807563
20942.473988524271,0.16675158578342467,77.286326387204795,66.237235140392698,25.038943120028247
8618.0302614876691,0.16306882967999492,77.284336556659085,66.237762692757329,25.038724178675412
6632.3157613977255,0.17143956182673004,77.286116846899461,66.236616141117736,25.039891257011966
50556.948383377086,0.16009294652749539,77.286181767479093,66.237298324924097,25.036984713891169
81758.090494749194,0.14680537925155179,77.288663281397675,66.237315324162864,25.032056536886429
20231.683467053615,0.16559259109347141,77.286610982235558,66.237201862714684,25.030563313553941
64878.291332177279,0.15437663516134523,77.286181894367573,66.237298178562042,25.034551118111093
8033.5759447726105,0.1665595882032237,77.283358020412564,66.237770778719891,25.037133784234733
12100.273545853546,0.17065210773296541,77.290508353436621,66.235404205204176,25.030265015387439
17066.472268859827,0.16582666675894622,77.288646870196288,66.236623142949497,25.029825327151176
21738.752236956079,0.15577609684367491,77.286289700761529,66.237776919777446,25.030334849567659
7778.8713227850048,0.16364301144436447,77.28294250734892,66.237771672565614,25.0344441327906
11206.176728844281,0.17961803563964393,77.28863516095771,66.234617090490246,25.034547401456621
11558.922609445766,0.17596953004942284,77.29107656720771,66.234617090490246,25.034547401456621
9193.9582175175401,0.18053144331656756,77.28863516095771,66.234617090490246,25.036988807706621
9243.5995108110892,0.17681538459388413,77.291004296386092,66.234603413401814,25.036914281753344
4592.0075573121067,0.18034340913819411,77.288581114984055,66.234587698265827,25.039153819442131
6325.3888521419303,0.17276794835562953,77.28872636242032,66.235424010754244,25.040354331240636
5678.1583321490152,0.17807193293982335,77.290599009233588,66.234574326274966,25.038680322526641
10242.961746979814,0.17064555631953235,77.290884189958106,66.23540803024575,25.039229235878192
9360.2280074716346,0.17499590903459894,77.29266539495336,66.234554364966002,25.03457322193022
22748.698585611994,0.16678052731107557,77.293258291322289,66.235424761096908,25.034470954917275
622.26645896243338,0.17849740547265863,77.292584775083071,66.232125608389552,25.036539300373036
10756.827685574875,0.17272492876656395,77.292892960089148,66.234210611173594,25.036937265493599
5518.2893224896197,0.17960722218416963,77.288566646573415,66.234562637755246,25.030353288373583
10328.041056708276,0.17594417382502794,77.290969443502362,66.2345979877974,25.03222220847309
19611.723591335754,0.16878120314819128,77.291784652281436,66.235450219982567,25.031255052205573
1920.1639299180897,0.1788649646129194,77.290316101955298,66.232089707926733,25.030495187902925
8282.8544064462149,0.17319021242477112,77.290852951614909,66.234171153355121,25.030273693000673
16449.914386616128,0.16984310802789981,77.29284345077572,66.235408189399791,25.032576444738027
6353.0590491389485,0.17689000860010046,77.292530806716115,66.234456679364982,25.03286442515606
6787.0729950008163,0.17192618035008086,77.284579409116773,66.237144679493156,25.038541181532032
2996.7593021519542,0.18161423962054707,77.286292720359725,66.234578163399107,25.039074852552485
3637.3280791651814,0.17335451337513297,77.284223937748024,66.236608854059412,25.03896617554437
3444.8032236702725,0.17539637373409731,77.286142761909787,66.235423612688223,25.040147127607014
15641.861408970462,0.17300762101009459,77.284126189423063,66.237231491042579,25.036880871566229
5705.0634797015191,0.18294101762799164,77.28619375470771,66.234617090490246,25.036988807706621
9230.3805362136154,0.18035102796918556,77.28863516095771,66.234617090490246,25.032105995206621
47042.199732301597,0.15929434615563137,77.286199923428441,66.237281700297558,25.032102657062858
3760.4646901878668,0.18066237768799009,77.286576855673729,66.234566606165544,25.030415859065972
7477.6399537460338,0.18230960595728538,77.28619375470771,66.234617090490246,25.034547401456621
21248.65931736257,0.16946072881826127,77.283968341673202,66.237249382024856,25.034565566104536
3251.2161756046121,0.17645120068467648,77.283162144507216,66.236615975830986,25.037241578252434
8477.9350525779355,0.17211784061238025,77.288646869837422,66.2354247604233,25.029549926782998
