ppm HF Concentration mole,X (m),Y (m),Z (m)
30,78.16,82.06,46.13
30,78.18,82.07,46.15
28,80.95,81.53,46.05
29,80.97,81.53,46.09
30,81.04,81.38,46.05
30,81.03,81.37,46.03
29,81.01,81.4,46.04
29,80.93,81.63,46.07
29,80.95,81.59,46.08
28,80.91,81.59,46.06
27,80.9,81.49,46.03
29,80.96,81.52,46.16
29,80.94,81.51,46.24
29,80.94,81.63,46.08
31,78.22,82.21,46.13
30,78.21,82.13,46.15
30,78.18,82.15,46.13
30,78.12,82.1,46.13
30,78.13,82.07,46.18
30,78.18,82.07,46.24
30,78.16,82.06,46.3
30,78.16,82.03,46.13
30,78.18,82.02,46.15
30,80.97,81.44,46.23
30,80.98,81.45,46.17
29,81.02,81.41,46.08
29,81.05,81.35,46.03
30,81.03,81.38,46.09
29,81.06,81.37,46.05
29,81.07,81.31,46.03
28,81,81.46,46.09
27,80.96,81.44,46.03
28,80.92,81.52,46.1
28,81,81.35,46.07
29,81,81.35,46.02
28,80.98,81.38,46.07
29,80.97,81.37,46.02
28,80.98,81.33,46
26,80.78,81.5,45.99
25,80.83,81.44,45.99
29,80.93,81.62,46.16
29,80.89,81.62,46.11
29,80.86,81.65,46.06
29,80.93,81.58,46.16
28,80.88,81.58,46.1
27,80.84,81.54,46.03
30,80.92,81.57,46.24
29,80.9,81.52,46.2
30,80.92,81.61,46.24
30,80.9,81.6,46.26
30,80.89,81.57,46.26
27,80.88,81.47,46.08
28,80.91,81.52,46.15
28,80.94,81.42,46.23
29,80.93,81.52,46.25
29,80.96,81.48,46.24
27,80.92,81.38,46.22
32,80.98,81.74,46.14
32,80.96,81.75,46.09
31,80.95,81.67,46.14
31,80.92,81.7,46.08
28,80.64,81.68,46.02
30,80.94,81.67,46.25
30,80.91,81.69,46.28
31,80.95,81.74,46.3
31,78.69,82.26,46.13
31,78.67,82.24,46.15
31,78.66,82.28,46.13
31,78.65,82.26,46.15
31,78.69,82.19,46.16
31,78.72,82.21,46.12
31,78.65,82.68,46.14
31,78.43,82.7,46.14
31,78.32,82.64,46.15
30,78.24,82.21,46.15
30,78.15,82.32,46.14
30,78.19,82.26,46.13
30,78.24,82.21,46.24
30,78.2,82.22,46.18
30,78.22,82.2,46.31
31,78.54,82.62,46.14
31,78.64,82.5,46.14
30,78.2,82.15,46.31
30,78.21,82.13,46.24
30,78.12,82.21,46.14
30,78.16,82.16,46.18
30,78.07,82.27,46.15
30,78.17,82.15,46.31
30,78.01,82.22,46.15
30,78.08,82.16,46.14
30,78.05,82.06,46.14
30,78.18,82.03,46.24
30,78.13,82.03,46.18
30,78.16,82.02,46.3
30,78.14,82.06,46.24
30,78.11,82.1,46.18
30,78.15,82.1,46.3
30,78.14,82.07,46.3
30,78.11,82,46.13
30,78.23,81.9,46.15
30,78.36,81.79,46.13
30,78.36,81.8,46.15
30,78.28,81.83,46.15
30,78.25,81.85,46.15
30,78.32,81.81,46.15
30,78.2,81.97,46.15
30,78.2,81.98,46.26
30,78.19,81.98,46.3
30,78.4,81.75,46.13
30,78.42,81.77,46.16
30,78.42,81.78,46.24
30,78.41,81.76,46.31
30,78.2,81.88,46.13
30,78.16,81.94,46.13
30,78.26,81.81,46.13
30,78.23,81.84,46.13
30,78.3,81.77,46.13
30,78.35,81.71,46.13
27,77.3,83.06,46.14
27,77.29,83.04,46.21
27,77.26,83.16,46.14
29,81.03,81.32,46.02
29,81.05,81.29,46.02
29,81.1,81.34,46.05
29,81.11,81.34,46.07
28,80.93,81.42,46.19
27,80.92,81.41,46.15
28,80.98,81.38,46.09
29,81.01,81.38,46.18
29,81.06,81.36,46.09
28,81,81.35,46.09
28,81.03,81.32,46.07
29,81.09,81.34,46.1
27,80.98,81.36,46.23
27,81.05,81.29,46.06
28,81.09,81.28,46.03
26,80.95,81.33,46.22
26,80.94,81.3,46.21
30,79.35,81.92,45.84
28,80.6,81.64,45.98
27,80.64,81.6,45.98
26,80.73,81.54,45.99
29,80.52,81.68,45.94
25,80.89,81.38,45.98
27,80.93,81.41,46.08
