ppm HF Concentration mole,X (m),Y (m),Z (m)
2,27.66,31.22,36.08
2,5.57,65.68,40.56
2,24.21,35.27,36.73
2,27.51,31.27,37.07
4,66.38,83.36,43.16
9,66.38,83.39,41.91
8,66.38,83.41,41.2
9,66.37,83.17,40.61
14,66.37,83.13,40.8
2,66.38,83.58,40.62
8,66.38,83.38,42.55
29,66.19,82.47,41.98
3,66.58,83.35,43.15
4,66.38,82.56,43.19
2,66.82,83.32,43.15
4,66.82,83.32,42.52
24,66.36,82.75,41.25
27,66.3,82.47,41.25
30,66.3,82.47,41.97
35,66.32,82.28,42.34
10,66.58,83.35,41.9
26,66.37,82.75,41.95
9,66.57,83.37,41.23
8,66.41,83.13,40.45
24,66.35,82.71,40.72
20,66.35,82.85,40.53
26,66.29,82.48,40.66
12,66.54,83.1,40.72
17,66.54,83.08,40.85
2,66.57,83.53,40.76
7,66.58,83.35,42.53
35,66.14,82.36,41.91
18,66.37,82.52,42.61
37,66.22,82.05,42.34
4,66.58,82.54,43.16
2,67.06,82.85,43.15
3,66.8,82.49,43.15
6,67.06,82.85,42.52
2,67.5,83.25,41.9
5,66.82,83.32,41.9
25,66.51,82.67,41.27
33,66.36,82.36,41.26
34,66.4,82.22,42.22
33,66.36,82.36,41.91
26,66.53,82.66,41.91
11,66.76,82.45,42.48
2,67.5,83.25,41.27
5,66.81,83.32,41.26
9,66.58,83.04,40.63
8,66.92,82.92,40.45
22,66.59,82.53,40.43
32,66.43,82.24,40.42
23,66.48,82.77,40.62
26,66.47,82.63,40.78
32,66.35,82.38,40.73
2,66.84,83.37,40.85
14,66.71,83.05,40.86
35,66.19,82.06,41.87
16,66.55,82.5,42.54
37,66.21,82.06,42.23
2,66.37,81.95,42.74
17,66.33,81.76,42.34
2,67.43,82.37,42.52
10,67.06,82.85,41.9
21,66.73,82.47,41.27
31,66.48,82.18,41.27
20,66.74,82.46,41.89
30,66.49,82.18,41.87
10,67.05,82.85,41.26
8,66.99,82.88,40.62
4,67.42,82.38,40.45
21,66.66,82.49,40.57
31,66.45,82.21,40.53
5,66.93,81.97,40.44
22,66.41,81.82,40.42
22,66.69,82.46,40.8
31,66.46,82.2,40.77
10,67.03,82.83,40.84
8,66.47,81.9,41.84
2,66.31,81.67,41.96
10,66.42,81.84,42.22
12,66.46,81.91,41.26
9,66.31,81.67,41.23
3,67.43,82.37,41.9
3,66.95,81.97,41.27
2,66.96,81.97,41.88
4,67.43,82.37,41.27
4,67.43,82.38,40.63
