ppm HF Concentration mole,X (m),Y (m),Z (m)
2,170.16,66.08,45.49
2,171.09,65.98,45.62
2,170.25,66.02,45.62
2,174.05,75.62,44.43
2,174.07,75.65,44.23
2,175.03,75.65,44.22
2,174.99,75.59,44.43
2,175.93,75.64,44.23
2,173.79,75.54,44.43
2,173.53,75.37,44.43
2,173.29,75.56,44.43
2,173.77,75.65,44.22
2,173.32,75.65,44.21
2,172.56,75.43,44.43
2,172.81,75.57,44.43
2,172.35,75.59,44.43
2,172.84,75.65,44.22
2,172.39,75.65,44.22
2,172.3,75.21,44.43
16,181.88,65.84,34.46
16,181.82,65.84,34.49
16,181.82,65.84,34.5
16,181.82,65.84,34.46
16,181.85,65.84,34.44
16,181.21,65.84,34.46
16,181.27,65.84,34.45
16,181.27,65.84,34.42
15,181.27,65.83,34.42
16,181.18,65.84,34.45
16,181.13,65.84,34.45
16,181.02,65.84,34.45
16,181.07,65.84,34.45
2,174.27,75.51,44.43
2,174.13,75.42,44.23
2,174.74,75.48,44.43
2,174.49,75.27,44.43
2,174.51,75.6,44.43
2,174.14,75.45,44.05
2,174.75,75.65,44.23
2,174.53,75.65,44.22
2,174.28,75.65,44.22
3,174.08,75.65,43.82
2,175.23,75.65,44.29
2,175.48,75.65,44.22
3,175.05,75.65,43.83
2,175.06,75.45,44.04
2,175.03,75.39,44.23
2,175.93,75.64,43.86
2,175.93,75.37,44.23
2,176.38,75.64,44.23
2,175.94,75.45,44.05
2,173.99,74.81,44.43
2,174.24,75.04,44.43
2,173.76,75.09,44.43
2,174.02,75.31,44.43
2,173.02,74.9,44.43
2,173.28,75.13,44.43
2,172.79,75.17,44.43
2,173.05,75.4,44.43
2,173.88,75.35,44.23
2,173.63,75.19,44.23
2,173.41,75.37,44.23
3,173.85,75.45,44.05
3,173.43,75.45,44.05
3,173.8,75.65,43.81
3,173.36,75.65,43.81
2,172.72,75.25,44.23
2,172.96,75.38,44.23
2,172.53,75.39,44.23
3,172.97,75.45,44.05
3,172.55,75.45,44.05
2,172.1,75.47,44.43
2,171.99,75.24,44.43
2,172.07,74.98,44.43
3,172.88,75.65,43.81
3,172.41,75.65,43.83
2,172.07,75.65,44.23
2,172.48,74.42,44.43
2,172.75,74.66,44.43
2,172.24,74.69,44.43
2,172.52,74.94,44.43
2,172.47,75.05,44.23
16,181.93,65.84,34.45
15,181.93,65.83,34.42
16,181.88,65.83,34.5
16,181.88,65.84,34.49
16,181.9,65.84,34.45
15,181.88,65.82,34.46
16,181.99,65.84,34.45
16,181.52,65.84,34.46
16,181.57,65.84,34.46
16,181.85,65.84,34.49
16,181.85,65.83,34.5
15,181.85,65.82,34.51
16,181.82,65.83,34.5
15,181.85,65.81,34.46
15,181.82,65.83,34.48
16,181.79,65.84,34.49
16,181.79,65.83,34.5
16,181.74,65.84,34.46
15,181.82,65.83,34.46
16,181.74,65.84,34.43
16,181.79,65.84,34.45
16,181.69,65.84,34.42
16,181.69,65.84,34.45
16,181.63,65.84,34.45
15,181.74,65.83,34.42
15,181.8,65.83,34.42
15,181.82,65.81,34.43
15,181.68,65.83,34.42
15,181.63,65.83,34.42
15,181.85,65.82,34.42
15,181.9,65.82,34.42
16,180.96,65.84,34.45
16,180.91,65.84,34.46
16,180.85,65.84,34.45
16,180.85,65.84,34.47
16,181.21,65.84,34.49
16,181.21,65.84,34.5
16,181.24,65.84,34.45
15,181.21,65.83,34.46
16,181.27,65.83,34.5
16,181.27,65.84,34.49
16,181.32,65.84,34.44
16,181.32,65.84,34.47
16,181.38,65.84,34.45
16,181.29,65.84,34.46
16,181.3,65.84,34.43
15,181.27,65.82,34.46
15,181.38,65.83,34.42
15,181.32,65.83,34.42
15,181.29,65.82,34.42
15,181.24,65.82,34.42
15,181.18,65.83,34.42
15,181.13,65.83,34.42
16,181.43,65.84,34.45
15,181.43,65.83,34.42
16,181.07,65.84,34.49
16,181.07,65.83,34.5
15,181.07,65.82,34.45
16,181.02,65.84,34.49
15,181.02,65.82,34.45
16,181.07,65.82,34.51
16,181.02,65.84,34.5
16,181.18,65.83,34.5
16,181.18,65.84,34.49
16,181.21,65.83,34.5
16,181.13,65.84,34.49
16,181.13,65.83,34.5
15,181.13,65.82,34.45
15,181.18,65.82,34.45
16,181.15,65.83,34.5
16,181.13,65.82,34.51
15,180.96,65.84,34.42
16,180.99,65.84,34.45
15,181.02,65.83,34.42
15,181.07,65.83,34.42
2,180.2,75.65,42.8
2,180.2,75.65,42.47
2,179.74,75.65,43.15
16,180.55,65.84,34.46
157,179.22,75.75,35.54
353,180.01,75.76,35.56
510,179.29,75.74,35.16
542,179.81,75.74,35.16
2,175.18,74.96,44.43
2,174.71,75,44.43
2,174.96,75.23,44.43
2,174.34,75.32,44.23
3,174.18,75.3,43.94
2,174.79,75.3,44.23
2,174.55,75.1,44.23
2,174.57,75.41,44.23
2,174.79,75.45,44.05
2,174.58,75.45,44.05
2,174.34,75.45,44.04
3,174.14,75.45,43.69
3,174.76,75.65,43.83
3,174.55,75.65,43.83
3,174.29,75.65,43.83
4,174.1,75.64,43.44
2,175.69,75.23,44.23
2,175.45,75.02,44.23
2,175.24,75.27,44.23
2,175.26,75.45,44.11
2,175.5,75.38,44.23
2,175.5,75.45,44.05
2,175.47,75.64,43.84
3,175.06,75.64,43.46
3,175.08,75.45,43.7
3,175.07,75.27,43.93
2,176.14,75.2,44.23
2,176.39,75.64,43.86
3,175.93,75.64,43.5
3,175.94,75.45,43.71
2,175.93,75.25,43.94
2,176.81,75.64,44.24
2,176.39,75.35,44.23
2,176.37,75.45,44.05
2,177.12,75.64,44.24
2,177.11,75.64,43.86
2,176.81,75.64,43.86
2,177.86,75.64,44.06
2,174.93,74.73,44.43
2,174.21,74.54,44.43
2,174.46,74.77,44.43
2,173.47,74.35,44.43
2,173.73,74.58,44.43
2,173.24,74.62,44.43
2,173.5,74.86,44.43
2,174.06,74.68,44.23
2,174.3,74.89,44.23
2,173.85,74.93,44.23
2,174.1,75.14,44.23
2,173.14,74.76,44.23
2,173.39,74.97,44.23
2,172.93,75.01,44.23
2,173.18,75.22,44.23
3,173.94,75.23,43.94
3,173.7,75.08,43.94
3,173.49,75.25,43.94
4,173.87,75.45,43.69
4,173.45,75.45,43.69
4,173.82,75.64,43.44
4,173.39,75.64,43.43
3,172.82,75.13,43.94
3,173.05,75.26,43.94
3,172.64,75.27,43.94
2,172.29,75.29,44.23
2,172.18,75.08,44.23
2,172.26,74.84,44.23
4,172.99,75.45,43.69
3,172.56,75.45,43.7
3,172.26,75.45,44.05
2,171.96,75.5,44.24
2,171.96,75.24,44.23
2,171.96,74.93,44.23
3,172.9,75.65,43.44
3,172.41,75.65,43.47
2,172.07,75.65,43.85
2,173.2,74.11,44.43
2,172.93,73.87,44.43
2,172.71,74.14,44.43
2,172.98,74.39,44.43
2,172.21,74.17,44.43
2,172.03,73.92,44.43
2,172.05,74.44,44.43
2,172.64,74.33,44.23
2,172.89,74.54,44.23
2,172.42,74.58,44.23
2,172.68,74.8,44.23
3,172.41,75.17,43.94
3,172.38,74.75,43.94
3,172.58,74.95,43.94
3,172.31,74.98,43.94
15,181.99,65.83,34.42
16,181.93,65.84,34.49
16,181.93,65.83,34.5
16,181.96,65.84,34.44
15,181.93,65.82,34.46
15,181.96,65.82,34.42
16,181.9,65.83,34.5
16,181.9,65.84,34.49
15,181.88,65.82,34.48
15,181.9,65.81,34.46
15,181.9,65.82,34.51
16,182.04,65.83,34.5
16,182.04,65.84,34.45
16,181.99,65.84,34.49
16,181.99,65.83,34.5
16,182.02,65.84,34.44
15,181.99,65.82,34.46
16,182.18,65.84,34.46
16,182.1,65.83,34.45
16,182.04,65.84,34.49
14,182.4,65.83,34.42
15,182.35,65.83,34.42
16,182.35,65.83,34.45
15,182.4,65.84,34.45
15,182.29,65.83,34.42
16,182.29,65.84,34.46
16,182.29,65.84,34.43
16,182.24,65.84,34.46
15,182.54,65.84,34.47
15,182.54,65.83,34.44
15,182.6,65.83,34.45
16,181.52,65.84,34.5
16,181.52,65.84,34.49
16,181.57,65.84,34.49
16,181.57,65.83,34.5
16,181.6,65.84,34.44
16,181.49,65.84,34.45
15,181.49,65.83,34.42
15,181.52,65.83,34.47
16,181.54,65.84,34.44
15,181.57,65.82,34.46
15,181.85,65.82,34.48
14,181.87,65.79,34.46
15,181.85,65.82,34.54
16,181.63,65.83,34.5
16,181.63,65.84,34.49
16,181.74,65.84,34.49
16,181.74,65.83,34.5
14,181.85,65.81,34.5
15,181.82,65.81,34.48
15,181.82,65.82,34.51
14,181.82,65.8,34.46
16,181.68,65.83,34.5
16,181.69,65.84,34.49
15,181.79,65.82,34.48
15,181.74,65.82,34.51
16,181.76,65.83,34.5
15,181.79,65.82,34.51
16,181.71,65.84,34.45
16,181.71,65.84,34.43
15,181.74,65.82,34.46
16,181.76,65.83,34.43
