ppm HF Concentration mole,X (m),Y (m),Z (m)
2,148.41,85.18,39.22
2,148.41,85.19,39.23
2,148.47,85.18,39.22
2,148.47,85.19,39.23
2,148.61,85.18,39.24
2,148.55,85.19,39.24
2,148.61,85.19,39.25
2,148.55,85.19,39.25
2,148.36,85.18,39.22
2,148.36,85.19,39.23
2,148.44,85.19,39.23
2,148.44,85.17,39.22
2,148.39,85.19,39.23
2,148.5,85.19,39.23
2,148.49,85.17,39.22
2,148.47,85.19,39.25
2,148.41,85.19,39.24
2,148.66,85.18,39.24
2,148.66,85.18,39.25
3,148.63,85.18,39.23
3,148.63,85.17,39.22
2,148.53,85.17,39.22
2,148.52,85.19,39.23
2,148.61,85.17,39.25
2,148.58,85.17,39.22
2,148.58,85.18,39.23
2,148.55,85.18,39.25
3,148.72,85.18,39.24
3,148.72,85.18,39.26
2,148.52,85.19,39.25
2,148.66,85.18,39.26
2,148.63,85.18,39.25
2,148.61,85.18,39.26
2,148.55,85.18,39.26
2,148.58,85.19,39.25
2,148.72,85.18,39.27
2,148.33,85.19,39.22
2,148.36,85.2,39.24
2,148.49,85.17,39.24
3,148.69,85.18,39.23
2,148.69,85.18,39.25
2,148.66,85.17,39.25
3,148.69,85.17,39.22
2,148.66,85.14,39.23
2,148.6,85.15,39.22
2,148.63,85.16,39.26
2,148.55,85.15,39.22
2,148.58,85.16,39.26
3,148.75,85.18,39.26
3,148.75,85.18,39.24
2,148.72,85.17,39.26
4,148.74,85.16,39.22
2,148.52,85.18,39.27
2,148.69,85.18,39.27
2,148.63,85.18,39.27
2,148.58,85.18,39.27
3,148.75,85.18,39.27
2,148.5,85.18,39.27
3,149.13,85.16,39.24
3,149.12,85.15,39.22
3,149.08,85.14,39.23
2,148.69,85.16,39.26
3,148.71,85.14,39.23
2,148.68,85.11,39.23
2,148.71,85.09,39.24
2,148.63,85.11,39.23
2,148.66,85.14,39.26
2,148.69,85.15,39.3
2,148.6,85.14,39.26
2,148.63,85.16,39.3
2,148.68,85.11,39.27
5,148.8,85.17,39.23
3,148.8,85.17,39.27
5,148.81,85.17,39.25
5,148.8,85.16,39.22
2,148.74,85.15,39.26
3,148.77,85.14,39.23
2,148.74,85.15,39.3
6,148.85,85.15,39.23
2,148.69,85.17,39.3
2,148.63,85.18,39.3
2,148.58,85.18,39.3
2,148.74,85.17,39.3
3,148.8,85.17,39.3
3,149.09,85.16,39.25
5,148.86,85.17,39.25
2,149.13,85.12,39.24
2,149.1,85.13,39.26
2,149.11,85.11,39.23
2,149.13,85.08,39.22
4,148.99,85.12,39.23
3,149.05,85.12,39.23
4,149.03,85.15,39.23
3,149.02,85.09,39.23
4,148.96,85.15,39.23
2,149.08,85.12,39.26
2,148.71,85.14,39.26
2,148.74,85.1,39.23
2,148.71,85.09,39.27
2,148.63,85.12,39.27
2,148.71,85.13,39.3
2,148.66,85.14,39.3
2,148.69,85.15,39.33
2,148.63,85.15,39.33
2,148.68,85.11,39.3
4,148.83,85.16,39.27
5,148.83,85.17,39.25
3,148.8,85.15,39.26
5,148.83,85.13,39.23
3,148.79,85.1,39.23
3,148.77,85.13,39.26
3,148.83,85.16,39.29
2,148.8,85.14,39.3
2,148.77,85.13,39.3
2,148.74,85.14,39.33
5,148.91,85.12,39.23
4,148.86,85.14,39.26
3,148.85,85.13,39.3
2,148.55,85.18,39.3
2,148.69,85.17,39.34
2,148.64,85.17,39.33
2,148.61,85.18,39.31
2,148.58,85.18,39.34
2,148.74,85.17,39.33
3,148.8,85.16,39.33
4,149.03,85.16,39.25
4,149,85.16,39.25
4,148.96,85.16,39.25
3,149.1,85.15,39.27
5,148.91,85.16,39.25
4,148.85,85.16,39.29
2,149.13,85.08,39.24
2,149.13,85.11,39.29
3,148.96,85.06,39.24
2,149.01,85,39.24
2,149.11,85.04,39.23
2,149.06,85.05,39.23
2,149.1,85.1,39.26
2,149.11,85.07,39.26
2,149.09,85.1,39.3
3,148.99,85.11,39.27
2,149.05,85.1,39.27
3,149.05,85.15,39.27
3,149.02,85.12,39.27
2,149.02,85.08,39.27
3,148.96,85.12,39.28
2,149.07,85.12,39.3
2,148.76,85.07,39.24
2,148.74,85.11,39.27
2,148.74,85.1,39.3
2,148.71,85.13,39.34
2,148.69,85.14,39.36
2,148.66,85.14,39.34
2,148.68,85.11,39.34
2,148.85,85.06,39.24
3,148.82,85.12,39.26
2,148.8,85.1,39.27
2,148.8,85.14,39.33
3,148.82,85.12,39.3
2,148.79,85.1,39.3
2,148.77,85.12,39.34
2,148.74,85.13,39.37
3,148.91,85.11,39.29
2,148.85,85.13,39.33
2,148.72,85.17,39.34
2,148.69,85.16,39.36
2,148.66,85.17,39.35
2,148.61,85.17,39.34
2,148.77,85.16,39.34
2,148.74,85.16,39.37
3,148.82,85.16,39.34
3,149.05,85.15,39.29
3,149.03,85.16,39.27
4,149,85.16,39.27
4,148.96,85.16,39.29
3,149.09,85.15,39.3
3,148.85,85.16,39.33
4,148.91,85.16,39.29
2,149.13,85.05,39.28
2,149.13,85.12,39.35
2,148.96,85.06,39.29
2,149.01,85,39.29
2,148.9,85.02,39.3
2,149.07,85.05,39.28
2,149.09,85.1,39.36
3,148.99,85.11,39.3
3,148.96,85.12,39.34
3,149.02,85.12,39.3
2,149.04,85.1,39.3
2,149.01,85.08,39.3
2,149.07,85.12,39.35
2,148.77,85.08,39.27
2,148.76,85.07,39.3
2,148.74,85.1,39.34
2,148.71,85.12,39.37
2,148.82,85.12,39.34
2,148.85,85.07,39.29
2,148.79,85.1,39.34
2,148.82,85.11,39.37
2,148.79,85.1,39.38
2,148.76,85.12,39.37
2,148.91,85.1,39.35
2,148.71,85.16,39.38
2,148.69,85.16,39.39
2,148.66,85.16,39.38
2,148.77,85.16,39.38
2,148.8,85.15,39.38
2,148.82,85.15,39.37
3,148.96,85.15,39.34
3,149.03,85.15,39.3
4,148.99,85.15,39.29
3,149.09,85.15,39.35
3,148.91,85.15,39.36
2,149.12,85.04,39.36
2,149.13,85.12,39.43
2,147.43,85.07,39.25
2,148.96,85.06,39.36
2,149.06,85.05,39.36
2,149.09,85.1,39.43
2,149.02,85.1,39.35
2,149.08,85.11,39.43
2,148.76,85.07,39.34
2,148.74,85.1,39.37
2,148.85,85.07,39.36
2,148.79,85.09,39.42
2,148.91,85.09,39.43
2,147.46,85.05,39.25
2,147.48,85.01,39.26
2,147.48,85.03,39.26
2,147.51,84.99,39.25
2,147.51,85.04,39.26
2,148.69,85.15,39.42
2,148.63,85.16,39.38
2,148.79,85.14,39.42
2,148.85,85.15,39.38
3,149.01,85.15,39.36
2,149.1,85.15,39.43
3,148.92,85.14,39.43
2,149.13,85.13,39.5
2,149.12,85.04,39.43
2,147.5,84.94,39.25
2,147.48,84.96,39.25
2,147.45,84.99,39.26
2,147.43,85.03,39.26
2,147.38,85.08,39.25
2,147.43,85.08,39.3
2,147.4,85.05,39.25
2,148.96,85.05,39.43
2,149.09,85.1,39.49
2,149.06,85.05,39.43
2,149.08,85.11,39.49
2,149.02,85.09,39.43
2,148.85,85.06,39.43
2,148.92,85.08,39.51
2,147.46,85.05,39.31
2,147.48,85,39.31
2,147.48,85.03,39.31
2,147.53,84.96,39.32
2,147.51,84.98,39.31
2,147.49,85.08,39.3
2,147.51,85.05,39.31
2,148.74,85.14,39.45
2,148.84,85.14,39.44
2,149.11,85.15,39.5
3,149.01,85.15,39.43
2,148.93,85.14,39.51
2,149.11,85.06,39.51
2,147.45,84.95,39.25
2,147.5,84.92,39.25
2,147.5,84.94,39.32
2,147.48,84.96,39.31
2,147.42,84.97,39.25
2,147.46,84.99,39.31
2,147.43,85.01,39.26
2,147.43,85.04,39.31
2,147.39,84.95,39.25
2,147.38,85.08,39.3
2,147.35,85.06,39.25
2,147.43,85.08,39.34
2,147.4,85,39.26
2,147.37,85.04,39.26
2,147.4,85.06,39.3
2,147.32,85.08,39.25
2,148.96,85.05,39.51
2,149,85,39.51
2,149.05,85.05,39.51
2,149.02,85.09,39.51
2,148.91,85.08,39.59
2,147.56,84.94,39.35
2,147.53,84.9,39.33
2,147.55,84.87,39.34
2,147.5,84.87,39.25
2,147.54,85.01,39.34
2,147.46,85.05,39.34
2,147.48,85.02,39.34
2,147.53,84.96,39.35
2,147.51,84.99,39.34
2,147.46,85.1,39.38
2,147.49,85.07,39.34
2,147.51,85.04,39.34
2,147.54,85.07,39.34
2,147.58,85.14,39.41
2,147.57,85.09,39.38
2,148.74,85.14,39.51
2,148.84,85.13,39.51
3,149.03,85.14,39.51
2,148.92,85.13,39.59
2,149.11,85.08,39.59
2,149.1,85.01,39.59
2,147.45,84.93,39.25
2,147.45,84.95,39.32
2,147.47,84.91,39.25
2,147.5,84.92,39.32
2,147.51,84.95,39.35
2,147.48,84.97,39.35
2,147.42,84.96,39.32
2,147.45,85,39.34
2,147.43,85.02,39.34
2,147.4,84.99,39.32
2,147.39,84.95,39.32
2,147.37,84.97,39.25
2,147.39,84.93,39.25
2,147.42,84.91,39.25
2,147.44,84.88,39.25
2,147.43,85.08,39.38
2,147.38,85.08,39.34
2,147.32,85.04,39.26
2,147.35,85.06,39.3
2,147.37,85.02,39.26
2,147.37,85.04,39.31
2,147.4,85.05,39.34
2,147.32,85.09,39.3
2,147.34,85,39.26
2,147.29,85.06,39.25
2,148.82,85.08,39.52
2,149.05,84.99,39.6
2,148.96,85.05,39.59
2,149,85,39.59
2,149.04,85.05,39.59
2,149.02,85.08,39.59
2,148.85,85.05,39.59
2,148.91,85.07,39.65
2,147.56,84.93,39.38
2,147.58,84.9,39.38
2,147.55,84.88,39.39
2,147.53,84.91,39.38
2,147.49,84.83,39.25
2,147.5,84.87,39.34
2,147.56,84.98,39.38
2,147.54,85.01,39.38
2,147.57,85.04,39.38
2,147.46,85.05,39.38
2,147.48,85.02,39.38
2,147.53,84.96,39.38
2,147.51,84.99,39.38
2,147.52,85.1,39.38
2,147.46,85.1,39.41
2,147.49,85.07,39.38
2,147.51,85.04,39.38
2,147.54,85.07,39.38
2,147.6,85.12,39.41
2,147.58,85.13,39.44
2,147.55,85.12,39.41
2,147.52,85.13,39.44
2,147.57,85.09,39.41
2,147.6,85.06,39.41
2,149.3,84.57,39.88
2,148.74,85.15,39.58
2,148.85,85.14,39.59
2,149.05,85.14,39.59
2,148.91,85.13,39.66
2,148.97,85.14,39.6
2,149.11,85.09,39.67
2,149.11,85.02,39.67
2,147.45,84.93,39.32
2,147.45,84.95,39.35
2,147.47,84.91,39.33
2,147.5,84.93,39.38
2,147.48,84.96,39.38
2,147.42,84.97,39.34
2,147.45,84.99,39.38
2,147.43,85.02,39.38
2,147.4,85,39.34
2,147.4,84.96,39.35
2,147.37,84.97,39.32
2,147.39,84.93,39.32
2,147.42,84.91,39.33
2,147.44,84.88,39.33
2,147.54,84.7,39.39
2,147.34,84.92,39.25
2,147.39,84.88,39.25
2,147.44,84.8,39.25
2,147.38,85.08,39.38
2,147.41,85.11,39.41
2,147.4,85.05,39.38
2,147.43,85.08,39.41
2,147.32,85.02,39.26
2,147.35,85.06,39.34
2,147.32,85.05,39.31
2,147.37,85.03,39.34
2,147.32,85.09,39.34
2,147.27,85.09,39.3
2,147.29,85.07,39.31
2,147.34,84.99,39.32
2,147.29,84.98,39.25
2,147.24,85.06,39.25
2,148.83,85.08,39.59
2,149.05,84.99,39.67
2,149.26,84.57,39.85
2,149.39,84.45,39.92
2,148.96,85.05,39.67
2,148.9,85.01,39.67
2,149,85,39.67
2,149.04,85.05,39.66
2,149.02,85.07,39.66
2,148.86,85.04,39.67
2,147.59,84.95,39.41
2,147.56,84.93,39.41
2,147.58,84.9,39.41
2,147.55,84.79,39.36
2,147.49,84.83,39.35
2,147.55,84.87,39.42
2,147.5,84.88,39.39
2,147.53,84.9,39.41
2,147.56,84.98,39.41
2,147.59,85.01,39.41
2,147.54,85.01,39.41
2,147.57,85.04,39.41
2,147.46,85.05,39.41
2,147.48,85.02,39.41
2,147.41,85.11,39.45
2,147.43,85.08,39.45
2,147.53,84.96,39.41
2,147.51,84.99,39.41
2,147.52,85.1,39.41
2,147.49,85.12,39.45
2,147.46,85.1,39.45
2,147.49,85.07,39.41
2,147.51,85.04,39.41
2,147.54,85.07,39.41
2,147.57,85.09,39.45
2,147.6,85.12,39.45
2,147.55,85.12,39.45
2,147.62,85.03,39.45
2,147.6,85.06,39.45
2,147.63,85.09,39.45
2,147.54,84.71,39.47
2,147.6,84.74,39.46
2,149.23,84.57,39.88
2,149.18,84.57,39.88
2,149.3,84.57,40.06
2,149.14,84.57,39.88
2,149.11,84.92,39.78
2,148.3,85.73,39.94
2,148.3,85.91,40.09
2,148.78,85.15,39.6
2,148.86,85.14,39.67
2,149.05,85.13,39.67
2,148.96,85.13,39.67
2,149.11,85.11,39.77
2,149.11,85.04,39.79
2,148.3,86.06,40.09
2,147.47,84.91,39.38
2,147.5,84.93,39.41
2,147.45,84.94,39.37
2,147.48,84.96,39.41
2,147.44,84.89,39.38
2,147.42,84.92,39.38
2,147.42,84.97,39.37
2,147.45,84.99,39.41
2,147.4,85,39.38
2,147.43,85.02,39.41
2,147.39,84.94,39.37
2,147.37,84.97,39.37
2,147.37,84.98,39.34
2,147.34,84.92,39.33
2,147.39,84.88,39.34
2,147.49,84.74,39.38
2,147.54,84.66,39.4
2,147.44,84.8,39.36
2,147.28,84.89,39.25
2,147.39,84.84,39.25
2,147.43,84.71,39.26
2,147.38,84.75,39.26
2,147.4,85.05,39.45
2,147.38,85.08,39.45
2,147.35,85.06,39.38
2,147.38,85.08,39.41
2,147.37,85.03,39.38
2,147.4,85.05,39.41
2,147.32,85.03,39.38
2,147.34,85,39.38
2,147.32,85.03,39.34
2,147.34,85,39.34
2,147.32,85.09,39.38
2,147.27,85.09,39.38
2,147.27,85.09,39.34
2,147.29,85.06,39.38
2,147.24,85.07,39.31
2,147.29,85.06,39.34
2,147.23,85.06,39.3
2,147.28,84.97,39.32
2,147.24,85.03,39.25
2,147.23,84.93,39.25
2,149.04,84.89,39.79
2,147.62,85.14,39.54
2,148.84,85.07,39.67
2,149.05,85.06,39.8
2,149.05,85,39.8
2,149.31,84.45,39.89
2,149.44,84.35,39.94
2,149.06,84.45,39.92
2,149.24,84.45,39.92
2,149.14,84.45,39.92
3,149.39,84.45,40.08
2,149.12,84.82,39.91
2,149.02,85.05,39.76
2,148.95,84.99,39.78
2,148.99,84.89,39.78
2,148.85,85.04,39.78
2,147.61,84.84,39.44
2,147.59,84.95,39.45
2,147.61,84.92,39.45
2,147.62,84.98,39.45
2,147.55,84.87,39.45
2,147.53,84.9,39.45
2,147.56,84.93,39.45
2,147.58,84.9,39.45
2,147.49,84.75,39.46
2,147.55,84.8,39.45
2,147.5,84.85,39.44
2,147.56,84.98,39.45
2,147.59,85.01,39.45
2,147.54,85.01,39.45
2,147.57,85.04,39.45
2,147.45,84.99,39.45
2,147.43,85.02,39.45
2,147.46,85.05,39.45
2,147.48,85.02,39.45
2,147.41,85.08,39.51
2,147.5,84.93,39.45
2,147.48,84.96,39.45
2,147.53,84.96,39.45
2,147.51,84.99,39.45
2,147.52,85.1,39.45
2,147.46,85.1,39.49
2,147.49,85.07,39.45
2,147.51,85.04,39.45
2,147.54,85.07,39.45
2,147.58,85.1,39.5
2,147.63,85.06,39.51
2,147.68,85,39.51
2,147.54,84.68,39.52
2,147.6,84.73,39.51
3,149.23,84.57,40.06
3,149.26,84.57,40.1
3,149.18,84.57,40.07
3,149.3,84.57,40.24
3,149.14,84.57,40.07
2,149.11,84.57,39.88
2,149.12,84.91,39.94
2,149.11,84.66,39.9
2,149.11,84.75,39.93
2,148.3,85.55,39.94
2,148.3,85.43,39.94
2,148.3,85.72,40.1
2,148.3,85.9,40.26
2,148.78,85.15,39.67
2,148.87,85.14,39.78
3,149.07,85.14,39.77
3,148.97,85.14,39.79
2,149.12,85.07,39.94
2,148.3,86.05,40.26
2,148.34,86.19,40.26
2,148.34,86.19,40.08
2,148.3,86.15,40.26
2,148.3,86.15,40.08
2,147.39,84.89,39.39
2,147.45,84.91,39.43
2,147.44,84.81,39.45
2,147.4,84.97,39.43
2,147.34,84.93,39.38
2,147.28,84.89,39.34
2,147.39,84.84,39.35
2,147.43,84.71,39.39
2,147.48,84.63,39.41
2,147.38,84.75,39.38
2,147.28,84.85,39.25
2,147.33,84.81,39.25
2,147.43,84.67,39.26
2,147.43,84.58,39.27
2,147.33,84.72,39.26
2,147.47,84.54,39.44
2,147.2,85.11,39.31
2,147.19,85.09,39.3
2,147.14,85.07,39.26
2,147.35,85.03,39.43
2,147.29,84.98,39.37
2,147.3,85.08,39.51
2,147.3,85.09,39.43
2,147.24,85.04,39.36
2,147.23,85.02,39.31
2,147.23,84.93,39.33
2,147.19,85,39.25
2,147.19,84.9,39.25
2,149.05,84.89,39.94
2,147.56,85.12,39.52
2,147.6,85.12,39.54
2,148.85,85.07,39.79
2,149.04,85.08,39.8
2,148.96,85.08,39.82
2,149.06,85.03,39.94
2,147.43,84.72,39.47
2,147.53,84.57,39.43
2,147.59,84.63,39.53
2,147.48,84.64,39.52
2,147.35,85.03,39.51
2,147.3,85.06,39.57
2,149.01,84.57,39.93
2,149.03,84.7,39.94
2,149.33,84.3,39.94
2,149.11,84.31,39.94
2,149.24,84.36,39.95
3,149.44,84.35,40.1
2,149.01,84.37,39.94
2,149,84.45,39.92
3,149.06,84.45,40.09
3,149.24,84.45,40.08
3,149.31,84.45,40.11
3,149.14,84.45,40.09
3,149.4,84.44,40.25
2,148.83,84.9,39.79
2,149.04,84.79,39.91
2,148.94,84.99,39.94
2,148.99,84.88,39.95
2,148.75,84.98,39.79
2,148.85,85.03,39.9
2,147.4,84.97,39.51
2,147.45,84.91,39.51
2,147.61,84.84,39.51
2,147.62,84.95,39.51
2,147.56,84.9,39.51
2,147.49,84.74,39.51
2,147.44,84.8,39.51
2,147.55,84.79,39.51
2,147.5,84.85,39.51
2,147.57,85.01,39.51
2,147.46,85.02,39.51
2,147.4,85.06,39.58
2,147.51,84.96,39.51
2,147.52,85.07,39.51
2,147.57,85.07,39.57
2,147.63,85.05,39.59
2,147.68,85,39.59
2,147.54,84.68,39.59
2,147.59,84.62,39.59
2,147.65,84.67,39.59
2,147.6,84.73,39.59
2,147.66,84.78,39.59
3,149.3,84.57,40.5
3,149.22,84.57,40.24
3,149.26,84.57,40.24
3,149.18,84.57,40.24
3,149.14,84.57,40.24
3,149.11,84.57,40.07
2,149.11,84.59,39.88
2,149.12,84.91,40.1
3,149.11,84.66,40.08
2,149.12,84.77,40.09
2,148.3,85.36,39.94
2,148.3,85.55,40.1
2,148.3,85.44,40.1
2,148.3,85.72,40.26
2,148.87,85.14,39.92
2,148.75,85.15,39.79
3,149.12,85.07,40.1
3,149,85.15,39.94
2,148.64,85.15,39.94
2,148.3,85.17,39.94
2,148.46,85.15,39.94
2,148.3,85.27,39.94
2,148.3,85.21,39.94
2,147.39,84.86,39.51
2,147.39,84.86,39.44
2,147.38,84.76,39.46
2,147.34,84.92,39.51
2,147.28,84.9,39.39
2,147.34,84.92,39.43
2,147.28,84.85,39.35
2,147.33,84.81,39.36
2,147.43,84.67,39.4
2,147.42,84.58,39.43
2,147.32,84.72,39.39
2,147.23,84.82,39.25
2,147.28,84.76,39.26
2,147.36,84.54,39.28
2,147.33,84.68,39.26
2,147.38,84.64,39.27
2,147.47,84.55,39.55
2,147.42,84.59,39.54
2,147.47,84.5,39.46
2,147.38,84.46,39.28
2,147.19,85.1,39.36
2,147.14,85.04,39.31
2,147.04,85.06,39.26
2,147.09,85.01,39.25
2,147.18,85.07,39.57
2,147.18,85.08,39.51
2,147.18,85.09,39.43
2,147.29,84.98,39.43
2,147.23,84.94,39.38
2,147.29,84.98,39.51
2,147.24,85.04,39.51
2,147.24,85.04,39.43
2,147.18,85,39.37
2,147.18,84.99,39.32
2,147.17,84.9,39.34
2,147.19,84.87,39.25
2,147.14,84.95,39.25
2,149.05,84.88,40.1
2,147.55,85.12,39.58
2,147.5,85.12,39.53
2,147.59,85.11,39.59
2,148.85,85.07,39.92
2,148.73,85.06,39.79
2,149.06,85.03,40.1
2,148.96,85.08,39.95
2,148.62,85.05,39.94
2,147.43,84.69,39.51
2,147.38,84.75,39.51
2,147.58,84.46,39.47
2,147.53,84.58,39.54
2,147.64,84.56,39.59
2,147.63,84.57,39.54
2,147.48,84.63,39.59
2,147.53,84.57,39.59
2,147.29,84.98,39.59
2,147.35,85.03,39.59
