ppm NH3 Concentration mole,X (m),Y (m),Z (m)
717,-99.55,67.55,40.39
3227,-99.67,67.45,40.42
99,-99.66,67.47,40.69
38,-99.57,67.34,40.43
38497,-99.78,67.39,40.45
129,-99.49,67.08,40.42
3860,-99.78,67.41,40.72
744,-99.52,66.66,40.39
445,-99.68,67.24,40.42
20215,-99.79,67.32,40.44
3411,-99.71,66.9,40.39
62,-99.68,67.24,40.81
133,-99.78,67.36,40.81
115,-99.55,66.23,40.39
30,-99.52,66.65,40.76
4967,-99.76,66.46,40.39
406,-99.7,67.22,40.7
4663,-99.79,67.3,40.7
725,-99.72,66.89,40.74
42912,-99.95,66.78,40.39
53303,-99.91,67.16,40.4
558,-99.9,67.17,40.94
31678,-99.96,66.63,40.39
159,-99.79,66.03,40.4
74,-99.7,66.94,40.96
173,-99.76,66.46,40.84
12402,-99.99,66.26,40.4
2090,-99.94,66.82,41.01
129110,-100.35,67.19,40.39
16367,-99.95,66.78,40.8
19350,-99.92,67.12,40.74
83979,-100.15,66.95,40.39
645,-100.12,66.99,41.01
642,-100.31,67.22,41
262,-100.95,67.91,40.39
6499,-99.96,66.63,40.83
55124,-100.19,66.51,40.39
40342,-100.22,66.14,40.41
37,-99.79,66.03,40.94
566,-100.03,65.82,40.43
222,-99.83,65.59,40.44
1060,-99.99,66.26,40.92
147,-99.95,66.71,41.2
139160,-100.55,67.43,40.39
77430,-100.76,67.66,40.39
75071,-100.36,67.18,40.78
126777,-100.59,66.99,40.39
36857,-100.15,66.95,40.79
101314,-100.39,66.75,40.39
102,-100.15,66.95,41.2
98,-100.35,67.19,41.2
124,-100.96,67.89,40.74
111,-101.19,67.78,40.39
156,-100.05,63.3,40.58
4666,-100.46,63.63,40.58
32,-99.57,63.56,40.57
1290,-99.97,64.04,40.55
1323,-99.78,65.15,40.47
130,-99.49,64.44,40.52
73971,-100.43,66.31,40.41
17461,-100.19,66.51,40.89
28152,-100.23,66,40.43
11203,-100.22,66.14,40.99
769,-100.03,65.82,41.04
520,-99.83,65.59,41.08
25601,-100.25,65.49,40.47
46,-99.97,66.3,41.28
382,-100.18,66.53,41.26
79402,-100.56,67.42,40.78
126117,-100.79,67.23,40.39
62661,-101,67.46,40.39
29471,-100.77,67.65,40.76
120827,-100.83,66.79,40.41
