ppm HF Concentration mole,X (m),Y (m),Z (m)
2,62.88,90.46,56.59
2,62.85,90.46,55.02
2,62.86,90.46,55.65
4,61.92,90.46,56.59
9,60.17,90.46,56.58
3,60.26,90.77,50.5
6,61.13,90.46,56.58
2,62.85,90.46,54.39
2,62.84,90.66,55.65
4,61.92,90.46,55.33
3,61.91,90.66,56.59
6,60.16,90.46,55.33
9,60.1,90.64,56.58
2,62.85,90.46,53.77
2,61.98,90.46,51.81
8,57.84,92.86,60.31
6,59.5,92.86,60.3
5,61.22,92.86,60.3
4,62.93,92.86,60.3
2,64.78,92.86,60.3
8,57.68,93.3,60.7
6,59.53,93.22,60.7
5,61.25,93.17,60.7
3,63.01,93.11,60.7
2,64.81,93.05,60.7
5,62.17,97.16,40.58
5,59.78,91.49,50.5
3,60.2,90.9,50.69
2,61.19,90.46,51.82
2,61.97,90.46,52.49
2,62.85,90.46,52.49
5,61.13,90.46,55.33
5,61.11,90.66,56.58
4,61.95,90.46,54.09
4,61.91,90.66,55.33
2,61.93,90.95,56.58
5,60.16,90.46,54.08
6,60.09,90.63,55.33
9,60.1,90.97,56.58
3,61.97,90.46,53.13
2,62.85,90.46,53.13
2,62.84,90.66,53.77
2,61.96,90.66,51.86
9,56.73,92.86,60.3
8,56.73,92.98,60.7
10,54.92,92.86,60.31
8,54.91,93.03,60.7
7,53.48,92.92,60.7
4,52.55,92.95,60.7
5,53.03,93.12,60.7
5,52.38,92.89,60.45
10,53.49,92.86,60.31
9,53.05,92.86,60.31
7,52.57,92.86,60.32
8,57.85,92.86,59.21
5,59.48,92.86,59.2
5,61.25,92.86,59.21
3,62.9,92.86,59.21
9,57.87,93.06,60.15
7,59.51,93.06,60.14
6,61.24,93.06,60.14
5,62.15,92.86,60.44
3,63.96,92.86,60.3
4,62.93,93.06,60.14
2,64.78,93.06,60.14
10,57.72,93.48,60.5
7,59.55,93.4,60.5
6,61.26,93.34,60.5
4,63.01,93.29,60.5
3,64.81,93.24,60.5
10,56.87,94.18,60.7
8,58.68,93.96,60.7
7,60.45,93.85,60.7
5,62.22,93.71,60.7
3,63.99,93.55,60.7
2,65.75,93.43,60.7
4,62.04,97.09,40.69
10,61.34,96.98,40.44
6,62.17,97.28,40.56
3,62.17,97.28,41.5
3,62.17,97.15,41.43
7,63.3,97.48,41.29
6,59.73,91.49,50.69
4,61.19,90.46,53.13
3,60.17,90.46,52.8
3,60.21,91.07,50.85
2,60.13,90.64,51.45
3,61.19,90.46,52.49
2,61.96,90.66,52.51
4,61.16,90.46,54.06
5,61.11,90.66,55.33
3,61.11,91.41,56.58
3,61.94,90.66,54.09
3,61.93,90.95,55.33
5,60.09,90.63,54.08
6,60.09,90.97,55.33
2,62.44,91.23,54.4
3,61.96,90.66,53.14
2,62.84,90.66,53.14
3,61.64,92.58,54.5
11,56.77,92.86,59.2
10,55.89,92.86,60.3
11,56.78,93.06,60.14
10,56.79,93.17,60.5
8,55.87,93.4,60.7
10,54.05,92.86,60.31
7,53.95,93.07,60.7
8,54.48,93.39,60.7
15,54.95,92.86,59.21
12,55.01,93.06,60.15
10,55.01,93.22,60.5
9,53.63,93.11,60.5
5,52.74,93.14,60.5
3,52.44,93.12,60.7
7,53.2,93.31,60.5
6,53.55,93.5,60.7
3,52.65,93.57,60.7
8,54.07,93.94,60.7
10,56.8,92.86,57.87
17,54.97,92.86,57.87
6,52.58,93.09,60.27
11,53.63,93.06,60.15
10,53.21,93.06,60.15
8,52.76,93.06,60.15
3,52.38,93.6,60.3
2,52.38,94.12,60.29
5,52.38,93.12,60.3
14,53.04,92.86,59.24
8,57.87,92.86,57.87
4,59.5,92.86,57.87
3,61.26,92.86,57.87
10,57.87,93.06,59.13
6,59.49,93.06,59.13
5,61.26,93.06,59.13
2,63.96,92.86,59.2
3,62.9,93.06,59.13
12,57.73,93.58,60.05
8,59.54,93.51,60.04
7,61.28,93.45,60.04
5,62.15,93.06,60.26
4,62.99,93.4,60.04
3,63.96,93.06,60.14
2,64.81,93.35,60.04
13,56.92,94.3,60.5
10,58.7,94.09,60.5
8,60.46,93.99,60.5
6,62.22,93.85,60.5
4,63.99,93.71,60.5
2,65.75,93.6,60.5
11,56.06,95.2,60.7
10,57.86,95.06,60.7
9,59.64,94.9,60.7
7,61.41,94.74,60.7
4,63.18,94.56,60.7
3,64.94,94.38,60.7
9,61.38,96.93,40.6
7,62.04,97.34,40.67
3,62.04,97.09,41.49
8,61.36,96.87,40.78
6,61.4,96.93,41.49
4,62.04,97.35,41.5
7,61.87,97.44,40.74
9,61.08,97.51,40.45
9,61.92,97.44,40.45
9,62.65,97.68,40.45
5,62.75,97.35,41.32
2,60.51,97.22,41.38
7,60.48,97.79,40.45
6,63.1,97.67,41.41
8,63.3,98.04,41.29
6,58.61,92.59,51.17
11,58.65,92.59,54.15
6,59.84,91.46,50.84
2,60.29,92.06,50.71
3,61.16,90.66,53.14
3,60.09,90.63,52.82
2,60.11,90.97,51.55
3,61.16,90.66,52.51
2,61.97,90.95,52.52
2,62.08,92.25,54.24
4,60.09,90.97,54.08
4,61.14,90.66,54.06
4,61.12,91.41,55.33
3,61.95,90.95,54.1
2,62.03,91.74,54.4
2,62.44,91.23,53.77
3,61.97,90.95,53.14
2,62.15,92.43,53.81
2,61.67,92.59,53.95
3,61.62,92.39,54.44
3,60.35,92.59,54.17
2,53.02,98.19,60.7
3,53.54,98.6,60.7
13,55.93,92.86,59.21
12,56.8,93.06,59.13
9,55,93.86,60.7
12,55.96,93.06,60.14
13,56.83,93.29,60.04
12,55.95,93.57,60.5
10,55.52,94.3,60.7
9,54.59,94.38,60.7
10,55.11,94.81,60.7
16,54.09,92.86,59.24
12,54.17,93.06,60.14
10,54.09,93.26,60.5
11,54.59,93.57,60.5
18,55.01,93.06,59.12
15,55.08,93.34,60.04
11,53.73,93.23,60.04
7,52.86,93.26,60.05
